treated_boro,pre_mspe,post_gap,max_weight,top_donor,fisher_p
Bronx,74.8447912073883,6.590144101130442,0.9999999739738383,Boston,0.375
Brooklyn,102.8384718440982,-4.193189443716708,0.9999999728767531,Boston,0.875
Manhattan,259.5138885187236,-6.554612317010306,0.9999999931696015,Boston,0.875
Queens,345.21405621888744,-10.418160719611407,0.9999999867102811,Boston,0.375
Staten Island,399.786079645653,-11.378631428067502,0.9999999913910878,Boston,0.375
