time_unit,real_y,synth_y,gap,treated_boro
2018,5.075989330978704,25.45708072381861,-20.381091392839906,Manhattan
2019,7.082775810667958,23.088980209395697,-16.00620439872774,Manhattan
2020,12.512903932180064,34.18945149539362,-21.676547563213553,Manhattan
2021,15.464060519958378,24.421037038345954,-8.956976518387576,Manhattan
2022,12.453880800424496,21.16489878716222,-8.711017986737723,Manhattan
2023,9.561747344401743,16.13268509520235,-6.570937750800608,Manhattan
2024,8.558354104557118,15.096640987777121,-6.538286883220003,Manhattan
2018,11.36665163296022,25.45708162412315,-14.090429991162928,Brooklyn
2019,10.599128532342329,23.088981092076548,-12.489852559734219,Brooklyn
2020,23.82976483823171,34.189453021129005,-10.359688182897294,Brooklyn
2021,18.96878520098506,24.421038993375305,-5.452253792390245,Brooklyn
2022,16.410374865592086,21.164900526184546,-4.75452566059246,Brooklyn
2023,12.353467048040368,16.132686433243656,-3.7792193852032874,Brooklyn
2024,10.4894823751112,15.096641877341328,-4.607159502230129,Brooklyn
2018,4.572922313532857,25.45708104598362,-20.884158732450764,Queens
2019,5.19650262901461,23.088980509990762,-17.892477880976152,Queens
2020,9.894141005643815,34.18945194123305,-24.295310935589235,Queens
2021,9.8525689846117,24.42103755827929,-14.568468573667591,Queens
2022,8.231260164359142,21.164899264477665,-12.933639100118523,Queens
2023,5.445934755207311,16.13268546017,-10.686750704962687,Queens
2024,4.947070502821909,15.096641237082038,-10.149570734260129,Queens
2018,15.414347158259847,25.457081532437375,-10.042734374177527,Bronx
2019,14.803205640972012,23.088981132555176,-8.285775491583165,Bronx
2020,26.41489446944089,34.18945309886602,-7.77455862942513,Bronx
2021,34.49554342024671,24.421039317747454,10.074504102499258,Bronx
2022,27.705082117048537,21.16490077123776,6.540181345810776,Bronx
2023,21.457857718106226,16.132686699383473,5.325171018722752,Bronx
2024,22.95175920480982,15.09664202127169,7.855117183538132,Bronx
2018,4.034315890968578,25.457080819355966,-21.422764928387387,Staten Island
2019,4.841179069162294,23.088980294527552,-18.247801225365258,Staten Island
2020,8.270347576485587,34.18945160847051,-25.919104031984926,Staten Island
2021,7.261768603743442,24.421037156781004,-17.159268553037563,Staten Island
2022,5.648042247356011,21.164898900517354,-15.516856653161344,Staten Island
2023,5.446326452807581,16.132685180056196,-10.686358727248615,Staten Island
2024,3.025736918226434,15.096641047112822,-12.070904128886388,Staten Island
