unit,weight,treated_boro
Denver,0.734759373597427,Manhattan
Portland,0.1870028334292802,Manhattan
Minneapolis,0.07823728237136508,Manhattan
Seattle,0.4088718381586926,Brooklyn
El Paso,0.2755538985698769,Brooklyn
Tampa,0.18000030292948913,Brooklyn
Washington,0.11210997227982428,Brooklyn
Atlanta,0.020787388925450928,Brooklyn
San Diego,0.3784312675004918,Queens
Tampa,0.33054469878734916,Queens
Portland,0.161602764763131,Queens
Seattle,0.12585269304387517,Queens
Denver,0.0034033263257251052,Queens
