time_unit,real_y,synth_y,gap,treated_boro
2014,171.69829027694246,182.1689269179504,-10.470636641007928,Manhattan
2015,185.8048187665228,174.7948588163157,11.009959950207104,Manhattan
2016,172.87875291205376,185.78550958445092,-12.906756672397165,Manhattan
2017,162.25458919605182,192.40280206297624,-30.14821286692441,Manhattan
2018,161.19217282445163,175.71143226627092,-14.519259441819287,Manhattan
2019,183.8570554185891,172.62248980662986,11.234565611959255,Manhattan
2020,180.19762124974395,178.81344988169135,1.3841713680525913,Manhattan
2021,210.24039531332724,203.81533370368035,6.425061609646889,Manhattan
2022,246.48059821124497,207.94175520514727,38.53884300609769,Manhattan
2023,222.3991604549739,191.9948702151028,30.404290239871102,Manhattan
2024,219.4480038671956,191.83037677238872,27.617627094806892,Manhattan
2014,218.56134008071425,206.22706632343298,12.334273757281267,Brooklyn
2015,207.81601667206368,208.07385609282082,-0.2578394207571364,Brooklyn
2016,179.34456451104757,195.0692623484631,-15.724697837415533,Brooklyn
2017,164.35958968946017,164.95128279862732,-0.5916931091671529,Brooklyn
2018,151.93302520326571,152.51675194952924,-0.5837267462635225,Brooklyn
2019,147.32788659955833,139.42080526678137,7.907081332776954,Brooklyn
2020,139.46991199799422,140.69057799234452,-1.2206659943502984,Brooklyn
2021,131.2099014865826,130.9688859780439,0.2410155085387089,Brooklyn
2022,163.70171274607338,163.59598780182785,0.10572494424553724,Brooklyn
2023,154.82037401035203,181.35325063592484,-26.53287662557281,Brooklyn
2024,148.20505585740736,162.55168266356984,-14.346626806162476,Brooklyn
2014,135.9820807960543,136.64740722590304,-0.6653264298487329,Queens
2015,135.9405087750222,132.5569766942532,3.3835320807690152,Queens
2016,124.25877086499736,133.87766686476257,-9.618895999765215,Queens
2017,118.52183196256524,125.33520345153582,-6.813371488970574,Queens
2018,105.34350129538416,105.56169830178241,-0.21819700639825612,Queens
2019,103.63904843306736,105.49547307178243,-1.856424638715069,Queens
2020,105.96708161086592,104.47540657227519,1.4916750385907278,Queens
2021,104.01319662235645,104.08783810484339,-0.07464148248693903,Queens
2022,138.14382588972438,127.05359301730569,11.090232872418696,Queens
2023,140.80443523577986,114.53985318134056,26.264582054439302,Queens
2024,147.41438657988644,105.94972649410973,41.464660085776714,Queens
