spec,term,estimate,se,p_value
Raw,D,-32.67366384316985,8.824735724571427,3.908883654072894e-4
Raw,P,-2.36439380772914,0.2705701699392201,2.868007296920296e-13
Raw,T,1.3028674468304653,0.20164895019980392,7.539279206609832e-9
Raw,covid,40.43352745459824,11.43699943273523,6.804815859615054e-4
Detrended,D,-32.67366384316984,8.824735724571404,3.9088836540727853e-4
Detrended,P,-2.3643938077291407,0.27057016993922,2.8680072969201937e-13
Detrended,T,-0.3711667766592928,0.20164895019980328,0.06937942747211719
Detrended,covid,40.43352745459826,11.436999432735231,6.804815859615032e-4
