term,estimate,std.error,statistic,p.value,conf.low,conf.high,spec,time_bin
time_bin_lump::-19:high_crime_shoot,-1.3754480286704633,0.17262160083429914,-7.967994862883741,1.0048582827047514e-12,-1.7171980186278755,-1.0336980387130512,Raw,-19
time_bin_lump::-18:high_crime_shoot,-1.1016129032224615,0.14362024304596496,-7.670317775955132,4.831596912544618e-12,-1.3859470559670768,-0.8172787504778463,Raw,-18
time_bin_lump::-17:high_crime_shoot,-0.8428315412153204,0.1408120881078532,-5.985505595015142,2.2631998426969936e-8,-1.1216062105739615,-0.5640568718566794,Raw,-17
time_bin_lump::-16:high_crime_shoot,-1.138530465946472,0.15754606940241236,-7.226651037788687,4.8399195769015536e-11,-1.4504344650745238,-0.82662646681842,Raw,-16
time_bin_lump::-15:high_crime_shoot,-1.3270609318962745,0.17564408470107534,-7.555397804342624,8.814891107837183e-12,-1.6747947258858873,-0.9793271379066617,Raw,-15
time_bin_lump::-14:high_crime_shoot,-0.9718637992798229,0.13721157378161403,-7.0829578911954,1.0102080770057189e-10,-1.2435103008489943,-0.7002172977106516,Raw,-14
time_bin_lump::-13:high_crime_shoot,-0.7999999999966878,0.12630934812881459,-6.333656311651775,4.248592311074423e-9,-1.0500626702877902,-0.5499373297055853,Raw,-13
time_bin_lump::-12:high_crime_shoot,-1.2795698924697587,0.15673054437428496,-8.164138634100858,3.537602778552476e-13,-1.589859344699708,-0.9692804402398095,Raw,-12
time_bin_lump::-11:high_crime_shoot,-1.2137992831507711,0.17473638818923293,-6.946459725585447,2.0217297585787124e-10,-1.5597360524788857,-0.8678625138226566,Raw,-11
time_bin_lump::-10:high_crime_shoot,-0.22544802867058578,0.12583968558537795,-1.7915495228858225,0.0757047211939012,-0.4745808780775863,0.023684820736414786,Raw,-10
time_bin_lump::-9:high_crime_shoot,1.2422939068131191,0.28198151566519586,4.40558631611913,2.29431781183563e-5,0.6840371204028242,1.800550693223414,Raw,-9
time_bin_lump::-8:high_crime_shoot,-0.23172043010427856,0.12968348807955027,-1.7868152186200985,0.07647126986234035,-0.4884631003994692,0.025022240190912093,Raw,-8
time_bin_lump::-7:high_crime_shoot,-0.7896057347637151,0.13792777193023809,-5.724776988082477,7.680645099493014e-8,-1.0626701394743057,-0.5165413300531245,Raw,-7
time_bin_lump::-6:high_crime_shoot,0.4193548387128492,0.17511017115372968,2.394805715452682,0.01816350076798266,0.072678067416582115,0.7660316100091162,Raw,-6
time_bin_lump::-5:high_crime_shoot,0.32885304659816184,0.1844838157506034,1.7825577016616225,0.0771660817580127,-0.036381326593600105,0.6940874197899238,Raw,-5
time_bin_lump::-4:high_crime_shoot,-0.23691756272077247,0.12382351173883885,-1.9133487606171664,0.058066040879769236,-0.48205886420748384,0.008223738765938904,Raw,-4
time_bin_lump::-3:high_crime_shoot,-0.6781362007135499,0.15613466407298518,-4.343277674690836,2.9355347072701067e-5,-0.9872459507161949,-0.3690264507109048,Raw,-3
time_bin_lump::-2:high_crime_shoot,-0.30071684587488345,0.15147574413858292,-1.9852475231926376,0.049378716858498824,-0.600603035018985,-8.306567307818646e-4,Raw,-2
