term,estimate,std.error,statistic,p.value,conf.low,conf.high,outcome,spec
high_crime_shoot:post,-0.4356935556426173,0.059434729013813796,-7.330622396568067,2.8324199133334897e-11,-0.5533602783784923,-0.3180268329067423,Shooting,Raw
high_crime_shoot:post,-1.660210550984866,0.05943472901381379,-27.933340969704776,1.3494502304017154e-54,-1.777877273720741,-1.542543828248991,Shooting,Group-Detrended
high_crime_rob:post,2.3874471803720994,0.6027855602601532,3.9606907294556177,1.2670805951664032e-4,1.1940741716075514,3.5808201891366473,Robbery,Raw
high_crime_rob:post,-2.520350009508331,0.6027855602601532,-4.181171838987958,5.514391886238699e-5,-3.713723018272879,-1.326977000743783,Robbery,Group-Detrended
