outcome,n_donors,n_pre,n_post,r_cv,att,se,ci_lower,ci_upper,p_value,pre_rmspe,nyc_base_rate,att_pct,ci_lower_pct,ci_upper_pct,mde_pct
Shootings,75,9,3,0,-0.15137397669930527,14.821882377989056,-29.201729620646738,28.89898166724813,0.9918514493454715,3.2878948066137466,10.768191188194978,-1.4057511986344977,-271.18509608800593,268.3735936907369,271.18509608800593
Robbery,34,9,2,0,70.10705443272084,72.34811183878038,-71.69263912076457,211.90674798620626,0.33253323060424034,35.63821230527728,169.04577378624396,41.47223137407165,-42.410193118118954,125.35465586626225,125.35465586626225
