outcome,year,rel_time,att,Y_actual,Y_counter,ci_lower,ci_upper
Shootings,2014,-8,6.458670778832705,6.911494278125892,0.45282349929318766,-19.90792222635882,32.82526378402423
Shootings,2015,-7,4.684310897340463,9.658322364773438,4.974011467432975,-16.735327775931385,26.10394957061231
Shootings,2016,-6,-0.8636598990171933,7.378480748596569,8.242140647613763,-26.94500256992933,25.217682771894943
Shootings,2017,-5,-1.5313240223838855,6.717233219533667,8.248557241917553,-18.614223611432756,15.551575566664987
Shootings,2018,-4,-0.11677941119010882,6.359761398806426,6.476540809996535,-15.55868659529308,15.325127772912863
Shootings,2019,-3,0.11509336911423063,8.884332171402047,8.769238802287816,-14.478887401879351,14.709074140107813
Shootings,2020,-2,-1.1033634844512328,18.388900317343488,19.49226380179472,-33.77452468261515,31.56779771371269
Shootings,2021,-1,-3.606313550705906,17.651003938051158,21.257317488757064,-37.77967699106058,30.56704988964877
Shootings,2022,0,-4.036634677539077,14.964192257122118,19.000826934661195,-35.28848174828971,27.215212393211555
Shootings,2023,1,-4.1619553966629255,11.072032239219359,15.233987635882285,-39.08358043725583,30.759669643929982
Shootings,2024,2,-0.12603869555019998,10.494065356721727,10.620104052271927,-30.873435014154417,30.621357623054017
Shootings,2025,3,3.8338721621152096,7.887548043497108,4.053675881381898,-28.542329731785163,36.210074056015586
Robbery,2014,-8,-21.13265882359039,188.3307834110804,209.4634422346708,-152.59698850383666,110.33167085665588
Robbery,2015,-7,-16.812595539191307,192.47653673989316,209.28913227908447,-140.59296819105145,106.96777711266883
Robbery,2016,-6,-39.97598704569205,176.55230066593293,216.52828771162498,-133.90397554708494,53.95200145570084
Robbery,2017,-5,-43.46924632771885,158.95840503214947,202.42765135986832,-130.99278246147077,44.05428980603307
Robbery,2018,-4,-15.685415726706879,147.22535520019446,162.91077092690134,-89.29597340580376,57.92514195239001
Robbery,2019,-3,9.726016089085164,152.1548262815773,142.42881019249214,-70.37275938634986,89.82479156452018
Robbery,2020,-2,17.653058202150532,149.72416542578023,132.0711072236297,-80.46693132959035,115.77304773389142
Robbery,2021,-1,38.34270726962865,157.98159739851138,119.63889012888274,-88.45787713863798,165.14329167789526
Robbery,2022,0,71.35412190203516,198.0079939210762,126.65387201904105,-41.44334389195532,184.15158769602564
Robbery,2023,1,63.01049793741976,188.78511254300508,125.77461460558533,-96.23957921445785,222.26057508929736
Robbery,2024,2,77.20361092802192,188.02411124703124,110.82050031900933,-54.46064047255014,208.86786232859396
