statistic,nyc_value,rank,n_valid,p_value,percentile,p_type
ATT (avg),-0.30192040509852425,73,76,0.9605263157894737,0.03947368421052633,two-sided
MSPE ratio,1.0608458759305024,36,76,0.47368421052631576,0.5263157894736843,one-sided (upper)
