city,att_avg,pre_rmspe,post_mspe,mspe_ratio
Albuquerque,7.268073433069799,9.178031367518093,113.40014610201399,1.3462153518442785
Anaheim,-0.5786016095346613,9.636283099730477,52.177843506052454,0.5619103414894344
Anchorage,-3.996116880791876,13.03098669725252,91.79691512334732,0.5405968165587529
Arlington,-0.1797769146927437,10.80048022268892,64.61793317485655,0.5539453624577266
Aurora,9.079936795733209,13.424765340448529,189.5581213270493,1.0517898841326063
Austin,1.107083140108737,7.0692270845849325,54.94001238355647,1.0993725464231001
Bakersfield,-10.553798634139433,11.602726070160543,152.5260413950684,1.13298437554768
Baltimore,-39.1304651858621,35.95267996620856,2200.3777858646154,1.7022945709473645
Baton Rouge,17.16850415476702,36.53155566817416,1422.1431342290034,1.0656313180050798
Birmingham,19.79813905465822,37.551147300919375,2618.698064748773,1.8571158908792726
Boston,-7.0891621138031935,13.26624914179839,128.9938159875975,0.7329470349091546
Buffalo,-34.9642279102974,30.747997171548626,1671.710533796284,1.7681838280277915
Chandler,0.8283538060425985,9.526416401920116,40.81465804548994,0.4497353661464954
Charlotte,12.596525686735104,12.151483513234163,368.6658474927553,2.496745657917325
Chula Vista,-0.09384164507054822,5.2339787832969495,35.225293236962386,1.2858511614178485
Cleveland,37.29282186152727,38.56879899050209,4259.358173968843,2.863333478216162
Colorado Springs,0.9421043468844337,10.127302524918873,153.30239546728765,1.4947252605551113
Columbus,3.469581957914004,15.462529948020466,196.2049449333746,0.8206327428031873
Corpus Christi,-0.6472558886523956,12.233456883278134,150.0931103314749,1.002910934043356
Dallas,6.08439713208861,7.101688624059376,109.50345339359846,2.1712236579896516
Denver,3.4532905416501944,9.761267672539734,99.94494897115534,1.0489345882399892
Detroit,-8.76103496925289,61.50741886027981,1003.1361092634772,0.2651580759259905
Durham,-4.308402228622328,22.2456522170451,368.2235433432747,0.7440828010520525
El Paso,3.010949810243892,11.39479107750487,57.1313739626744,0.4400093801819736
Fort Worth,4.139609525885095,8.100134995169801,84.96398450714166,1.29494212081166
Fremont,1.0301729282719032,9.750214776664219,59.71084821600177,0.6280943341161175
Fresno,-12.455374758843321,12.109666799712995,220.86884251038782,1.5061563877525779
Garland,0.7937901074700862,10.72341641224842,90.3167800725853,0.7854202680929067
Glendale,5.156612996820695,13.734219107961485,152.51390732283764,0.808539989313217
Greensboro,-8.787747446168074,19.524794029196233,330.12193077241255,0.8659672230808383
Henderson,0.3119692619104658,10.389463123740065,59.04588773042317,0.5470203014962216
Hialeah,0.27823919188958685,10.803462883820153,69.7674596882038,0.5977601258965151
Irvine,0.5473030119263493,9.406031119250473,44.82507194289428,0.5066501467369688
Irving,1.0096573889607914,4.992465536469763,27.97590623095661,1.1224164227797977
Jacksonville,-9.524643697865292,10.564444267612204,215.9852560212853,1.935222001501578
Kansas City,-4.564128741003581,18.52312097516678,280.01872525505524,0.8161288830698962
Laredo,6.384757407237782,11.033074408478168,215.67366921960163,1.7717564918296393
Las Vegas,-3.4059754004290883,11.488985093337687,90.38394914957011,0.6847435990017955
