year,pursuits,collisions,robberies,shootings,gun_violence,pursuit_pct,collision_pct,robbery_pct,shooting_pct,gun_violence_pct
2018,61,58,12965,754,2017,NA,NA,NA,NA,NA
2019,64,73,13434,777,2324,4.918032786885251,25.86206896551724,3.6174315464712725,3.05039787798409,15.220624690133855
2020,99,69,13187,1532,4479,54.6875,-5.47945205479452,-1.8386184308471054,97.16859716859716,92.72805507745268
2021,109,62,13861,1562,5028,10.1010101010101,-10.144927536231885,5.111094259497984,1.9582245430809442,12.257200267916947
2022,214,84,17439,1294,4162,96.3302752293578,35.48387096774193,25.81343337421542,-17.157490396927024,-17.223548130469368
2023,1592,318,16922,974,3109,643.9252336448599,278.57142857142856,-2.9646195309364076,-24.729520865533228,-25.30033637674195
2024,1930,421,16569,904,2917,21.231155778894472,32.38993710691824,-2.0860418390261204,-7.186858316221767,-6.17561917015117
2025,492,104,15048,688,2506,-74.50777202072538,-75.29691211401426,-9.179793590439978,-23.893805309734518,-14.089818306479263
