outcome,abs_effect_fmt,rel_effect_pct,p_value,sig
Robberies,"74.8 [-9.1, 159.1]",6.5%,0.04024024024024024,*
Shootings,"-30.9 [-49, -12.3]",-30.4%,0.00120144173007609,*
Pursuits,"188.6 [185.2, 192.1]",1342.9%,2.002002002002002e-4,*
Collisions,"17 [16.1, 18]",317.2%,2.002002002002002e-4,*
Gun Violence,"-68.1 [-126.4, -10.3]",-21.8%,0.01101321585903083,*
