year,total_pursuits,total_crashes,crash_rate
2018,61,58,95.1
2019,64,73,114.1
2020,99,69,69.7
2021,109,62,56.9
2022,214,84,39.3
2023,1592,318,20
2024,1930,421,21.8
2025,492,104,21.1
