outcome,term,estimate,std.error,p.value,conf.low,conf.high,sig
Pursuits,post_escalation,30.83458695251365,20.04838096465332,0.12819969377536297,-9.095224282507832,70.76439818753514,NA
Pursuits,t_since_escalation,23.175742802750484,3.4225949008465224,2.359668867181e-9,16.35905428482497,29.992431320676,***
Pursuits,post_maddrey,71.13102762597833,25.10596413073288,0.00589757295846713,21.12816652807625,121.13388872388042,**
Pursuits,t_since_maddrey,-29.445079777309033,3.662633185920293,9.257155187461184e-12,-36.73984597288205,-22.150313581736015,***
Pursuits,post_tisch,-174.51157700493897,22.801778722768713,5.0590445951493246e-11,-219.92525513825592,-129.09789887162202,***
Pursuits,t_since_tisch,3.316058292367456,3.22830689931896,0.30759302479684897,-3.113672134533011,9.745788719267924,NA
Collisions,post_escalation,3.898121555965645,3.182516393398777,0.22441264645779171,-2.440409174511821,10.23665228644311,NA
Collisions,t_since_escalation,1.5761946549434824,0.5433089284920956,0.00486145928240792,0.4941011434903843,2.6582881663965807,**
Collisions,post_maddrey,17.05095092484747,3.9853663275358007,5.420800445395053e-5,9.11340597089427,24.98849587880067,***
Collisions,t_since_maddrey,-2.490188985449191,0.5814130416689878,5.331255419250162e-5,-3.6481734154315055,-1.3322045554668764,***
Collisions,post_tisch,-15.178347861499583,3.619595752485128,7.359765956216418e-5,-22.38739757971038,-7.969298143288788,***
Collisions,t_since_tisch,0.3667362371359744,0.5124672983877843,0.47641366463632806,-0.6539308444015746,1.3874033186735233,NA
Robberies,post_escalation,-3.0110502117731417,120.87498379811257,0.9801916834879916,-243.75444463371645,237.73234421017017,NA
Robberies,t_since_escalation,-19.229990819267904,20.63538716252043,0.35434236969450705,-60.32892622027297,21.86894458173716,NA
Robberies,post_maddrey,171.76475381387516,151.36798392292562,0.26004656412367094,-129.7107137425496,473.2402213702999,NA
Robberies,t_since_maddrey,-2.460193099690016,22.082617433651727,0.9115860619860708,-46.4415373915559,41.521151192175864,NA
Robberies,post_tisch,381.1752471557568,137.4756714041959,0.00698957446346581,107.36871792750968,654.981776384004,**
Robberies,t_since_tisch,-127.05821251433696,19.463992869972984,6.712206910267166e-9,-165.8241139877812,-88.29231104089274,***
Shootings,post_escalation,-27.367896992415034,15.82893139526104,0.08787309615337803,-58.893946092300936,4.1581521074708725,+
Shootings,t_since_escalation,-3.247969291743303,2.702264086800122,0.23311717727831904,-8.629994657449558,2.134056073962952,NA
Shootings,post_maddrey,-2.6673183976786685,19.82207862759092,0.893313124117207,-42.146409466474395,36.811772671117055,NA
Shootings,t_since_maddrey,1.8163267319285403,2.8917831084791144,0.5318218803750492,-3.9431584782624154,7.575811942119497,NA
Shootings,post_tisch,8.03346668099354,18.00283981678967,0.6566975451076263,-27.822296277926803,43.889229639913886,NA
Shootings,t_since_tisch,-7.201522237236646,2.548866590387607,0.00602969411284281,-12.27803001095003,-2.1250144635232635,**
Gun Violence,post_escalation,-102.37183376432004,44.22817548304051,0.02333556831928085,-190.45987944844947,-14.28378808019059,*
Gun Violence,t_since_escalation,-13.227263868798056,7.550491391244233,0.083834947777763,-28.265370762097024,1.8108430245009153,+
Gun Violence,post_maddrey,3.832659288196716,55.38556899944541,0.9450124912118788,-106.47726145758332,114.14258003397676,NA
Gun Violence,t_since_maddrey,8.409940100026189,8.080033173875377,0.3012543362224728,-7.68284065740164,24.502720857454015,NA
Gun Violence,post_tisch,32.17483815836906,50.30236967534165,0.5243374735157652,-68.01101372422926,132.36069004096737,NA
Gun Violence,t_since_tisch,-16.318736941315112,7.121878036332416,0.02471444882704696,-30.503186355508312,-2.1342875271219146,*
