outcome,monthly_change,total_change,direction,unit_cost,total_benefit
Robberies,92.1497975708503,3593.8421052631616,Increase,42310,0
Shootings,-30.65182186234817,-1195.4210526315787,Decrease,1250000,1494276315.7894735
