regime,crashes_months,robberies_months,shootings_months,crashes_excess,robberies_excess,shootings_excess,crashes_avg_monthly_effect,robberies_avg_monthly_effect,shootings_avg_monthly_effect,crash_cost_central,shooting_benefit,robbery_cost,net_full_attribution,net_costs_only
post_tisch,11,11,11,32.53383807561008,-5091.514230458724,-1233.8456450250028,11.99411793983201,-451.81692217251714,-110.69865949823148,8133459.51890252,1542307056.2812536,0,1534173596.762351,-8133459.51890252
pre_tisch,28,28,28,643.0922593945231,-5181.80849207718,-1792.4430563859132,19.41752857614218,-189.4048778085076,-64.59298024751324,160773064.8486308,2240553820.4823914,0,2079780755.6337605,-160773064.8486308
