regime,n_crashes,n_injury,n_fatal,injury_rate,fatality_rate
Escalation,166,68,0,0.40963855421686746,0
Post-Maddrey,620,267,0,0.4306451612903226,0
Post-Tisch,89,33,0,0.3707865168539326,0
Pre-escalation,742,206,0,0.2776280323450135,0
