causal_share,shooting_benefit,robbery_benefit,robbery_cost,crash_cost,total_benefit,total_cost,net,bc_ratio,label
0,0,0,0,168906524.3675333,0,168906524.3675333,-168906524.3675333,0,0% attribution
0.25,945715219.1909114,108666071.09762348,0,168906524.3675333,1054381290.2885349,168906524.3675333,885474765.9210016,6.242395278907325,25% attribution
0.5,1891430438.3818228,217332142.19524696,0,168906524.3675333,2108762580.5770698,168906524.3675333,1939856056.2095366,12.48479055781465,50% attribution
0.75,2837145657.5727344,325998213.29287046,0,168906524.3675333,3163143870.865605,168906524.3675333,2994237346.4980717,18.727185836721976,75% attribution
1,3782860876.7636456,434664284.3904939,0,168906524.3675333,4217525161.1541395,168906524.3675333,4048618636.7866063,24.9695811156293,100% attribution
