scenario,total_crash_cost,robbery_additional_cost,total_cost,shooting_benefit,total_benefit,net,benefit_cost_ratio
low,126679893.27564996,0,126679893.27564996,3782860876.7636456,4217525161.1541395,4090845267.8784895,33.29277482083907
central,168906524.3675333,0,168906524.3675333,3782860876.7636456,4217525161.1541395,4048618636.7866063,24.9695811156293
high,211133155.4594166,0,211133155.4594166,3782860876.7636456,4217525161.1541395,4006392005.694723,19.975664892503442
