vsl_mult,injury_mult,robbery_mult,shooting_mult,crime_reduction,crash_cost,benefit,net,ratio
0.7,1.5,1,1,its_estimate,189060125.86633664,1494276315.7894735,1305216189.923137,7.903709515384063
0.7,1.5,1,1,generous,189060125.86633664,2988552631.578947,2799492505.7126102,15.807419030768125
0.7,1.5,1,1.3,none,189060125.86633664,0,-189060125.86633664,0
0.7,1.5,1,1.3,its_estimate,189060125.86633664,1494276315.7894735,1305216189.923137,7.903709515384063
0.7,1.5,1,1.3,generous,189060125.86633664,2988552631.578947,2799492505.7126102,15.807419030768125
0.7,1.5,1.3,0.7,none,189060125.86633664,0,-189060125.86633664,0
0.7,1.5,1.3,0.7,its_estimate,189060125.86633664,1942559210.5263157,1753499084.659979,10.274822369999283
0.7,1.5,1.3,0.7,generous,189060125.86633664,3885118421.0526314,3696058295.1862946,20.549644739998566
0.7,1.5,1.3,1,none,189060125.86633664,0,-189060125.86633664,0
0.7,1.5,1.3,1,its_estimate,189060125.86633664,1942559210.5263157,1753499084.659979,10.274822369999283
0.7,1.5,1.3,1,generous,189060125.86633664,3885118421.0526314,3696058295.1862946,20.549644739998566
0.7,1.5,1.3,1.3,none,189060125.86633664,0,-189060125.86633664,0
0.7,1.5,1.3,1.3,its_estimate,189060125.86633664,1942559210.5263157,1753499084.659979,10.274822369999283
0.7,1.5,1.3,1.3,generous,189060125.86633664,3885118421.0526314,3696058295.1862946,20.549644739998566
1,0.5,0.7,0.7,none,155720982.54950497,0,-155720982.54950497,0
1,0.5,0.7,0.7,its_estimate,155720982.54950497,1045993421.0526314,890272438.5031264,6.7171000588832115
