outcome,rel_half,estimate,std.error,p.value,conf.low,conf.high
Collisions,-5,-0.004650349650316712,0.025191222766688705,0.8540329449936,-0.054823018038187676,0.04552231873755426
Collisions,-4,-0.048333333333301885,0.038681447827286546,0.21530854611130698,-0.12537411347230762,0.02870744680570384
Collisions,-3,-0.04243589743586675,0.03742238767626015,0.2603710185607588,-0.11696904195817814,0.03209724708644463
Collisions,-2,0.020512820512850173,0.04270909561307958,0.6323996275892552,-0.06454971540241553,0.10557535642811586
Collisions,-1,0,0,NA,0,0
Collisions,1,0.23089743589746128,0.08099850691645794,0.00561406025867048,0.06957492824983813,0.39221994354508444
Collisions,2,0.3992307692307919,0.10155904162807179,1.8514842354305251e-4,0.1969584077583991,0.6015031307031847
Collisions,3,0.5143589743589944,0.11654329307415418,3.3128712928604056e-5,0.2822428897054108,0.7464750590125779
Collisions,4,0.47166666666668783,0.12250521210776473,2.443721730560117e-4,0.22767639117294294,0.7156569421604327
Collisions,5,0.11643589743592421,0.04283005829690742,0.008119014099029707,0.03113244345648951,0.20173935141535893
Robberies,-5,-3.8914102564099458,2.096719690840375,0.06733699113765121,-8.067389434759349,0.28456892193945693
Robberies,-4,-5.129743589743413,2.027804352937638,0.013486182022576971,-9.168465977207529,-1.0910212022792978
Robberies,-3,-3.1741025641024265,1.41764711828863,0.0280820803795332,-5.99759149973958,-0.3506136284652728
Robberies,-2,-2.9107692307691,1.007347358522812,0.00502519366768057,-4.917075373136888,-0.9044630884013118
Robberies,-1,0,0,NA,0,0
Robberies,1,-0.6297435897435022,1.1451528252897496,0.5839860985577898,-2.910513105730298,1.6510259262432936
Robberies,2,-0.09179487179479495,1.553310786237821,0.9530305455654873,-3.185481419010281,3.0018916754206915
Robberies,3,-0.7437179487178656,1.662223731015827,0.6558419657235853,-4.054323424883448,2.566887527447717
Robberies,4,-0.19115384615377828,1.7727458447488433,0.9144153062506934,-3.721883189001442,3.339575496693885
Robberies,5,-1.7349999999997934,1.8048542217238157,0.3394516467858545,-5.329678717808655,1.859678717809068
Shootings,-5,-0.5517832167831926,0.19961023635044362,0.007154305736747078,-0.9493414571270689,-0.15422497643931637
Shootings,-4,-0.33705128205128354,0.20251631949431004,0.10016718262920303,-0.7403974885941487,0.06629492449158153
Shootings,-3,0.06551282051281249,0.2708231425451605,0.8095071794456975,-0.4738782145522762,0.6049038555779012
Shootings,-2,-0.22884615384615714,0.2394282548046742,0.3422024321703807,-0.7057088509156502,0.24801654322333594
Shootings,-1,0,0,NA,0,0
Shootings,1,-0.7084615384615305,0.2340251098093128,0.0033681275807362757,-1.1745629396378237,-0.24236013728523736
Shootings,2,-0.38051282051282015,0.273009492660017,0.1674488736467493,-0.924258349216762,0.16323270819112173
Shootings,3,-0.3957692307692308,0.2147622181517694,0.06925405508568803,-0.8235052582486421,0.031966796710180434
Shootings,4,-0.5735897435897401,0.24859198687423273,0.02375905114338246,-1.0687035948242953,-0.07847589235518493
Shootings,5,-0.7003846153846047,0.2821784177240164,0.015269731350694113,-1.2623916409983986,-0.13837758977081083
