outcome,spec,se_base_continuous,se_new,se_inflation_ratio
Shootings,precinct_trend,0.010678674318826317,0.009831650297292499,0.9206807889963898
Shootings,precinct_year_fe,0.010678674318826317,0.013350087369085285,1.2501633602168496
Robberies,precinct_trend,0.13919469783263,0.09046585768611848,0.6499231586744498
Robberies,precinct_year_fe,0.13919469783263,0.0827939455730071,0.5948067481173737
Collisions,precinct_trend,0.014066158661755968,0.014337190213818086,1.0192683417398822
Collisions,precinct_year_fe,0.014066158661755968,0.017322448431524418,1.231498154405287
