micro,months,mean_pursuits,mean_crashes,mean_robberies,mean_shootings
a) Pre-City story,9,147.33333333333334,15.444444444444445,1350,81.44444444444444
b) City-to-Maddrey,1,294,27,1536,113
c) Post-Maddrey,18,310.5,34.44444444444444,1400.111111111111,74.05555555555556
