regime,months,mean_robberies,mean_shootings,mean_gun_events,mean_crashes
1_Pre-escalation,57,1168.157894736842,99.42105263157895,302.1578947368421,5.508771929824562
2_Escalation,10,1368.6,84.6,268.6,16.6
3_Post-Maddrey,18,1400.111111111111,74.05555555555556,239.83333333333334,34.44444444444444
4_Post-Tisch,11,933.0909090909091,45.72727272727273,198.1818181818182,8.090909090909092
