outcome,pre_mean,post_mean,pct_change
pursuits,133.82142857142858,34.09090909090909,-74.52507460513866
crashes,28.071428571428573,8.090909090909092,-71.17742308582004
robberies,1389.2142857142858,1267.3636363636363,-8.771191788313502
shootings,77.82142857142857,58,-25.470399265718218
gun_violence,250.10714285714286,210.45454545454547,-15.854244284916849
