regime,months,mean_ratio,sd_ratio,total_crashes,total_pursuits,overall_ratio
1_Pre-escalation,56,0.5013503982321347,0.32967158811000463,311,797,0.39021329987452946
2_Escalation,10,0.11818633930293906,0.06488356058302673,166,1620,0.10246913580246914
3_Post-Maddrey,18,0.1128415463916605,0.03453368867091999,620,5589,0.11093218822687421
4_Post-Tisch,11,0.13092957986703777,0.04859467295377802,89,704,0.12642045454545456
