regime,months,mean_pursuits,sd_pursuits,median_pursuits,min_pursuits,max_pursuits,mean_crashes,crash_rate
1_Pre-escalation,57,13.982456140350877,8.081043134729786,12,0,42,5.508771929824562,0.39397741530740277
2_Escalation,10,162,80.98696740148311,169.5,41,294,16.6,0.10246913580246914
3_Post-Maddrey,18,310.5,62.027745215109896,309.5,225,447,34.44444444444444,0.11093218822687421
4_Post-Tisch,11,64,21.42428528562855,57,35,107,8.090909090909092,0.12642045454545456
