cohort_date,cohort_int,n_precincts
2022-10-01,58,16
2022-11-01,59,14
2022-12-01,60,13
2023-01-01,61,16
2023-02-01,62,3
2023-03-01,63,3
2023-05-01,65,3
2023-06-01,66,4
2023-07-01,67,3
2023-08-01,68,1
