rel_time,estimate,se,conf_low,conf_high,outcome
-67,-4.2405597138229716e-11,1.0000001631953394e-8,-1.9642408795766883e-8,1.955759760149042e-8,shooting
-66,-0.7499999999932179,0.3840565180366483,-1.5027507753450484,0.002750775358612789,shooting
-65,-0.3750000000019479,0.19202825901858028,-0.7513753876783653,0.001375387674469486,shooting
-64,-0.2727272727262478,0.19750470420012825,-0.6598364929584992,0.11438194750600356,shooting
-63,-0.36363636363550805,0.1637622495374717,-0.6846103727289525,-0.04266235454206352,shooting
-62,-1.0062870399638662e-11,0.2239863099143895,-0.4390131674422663,0.4390131674221405,shooting
-61,0.17647058822261422,0.1916957423098718,-0.1992530667047345,0.5521942431499629,shooting
-60,0.21212121211508272,0.20112894603250392,-0.18209152210862495,0.6063339463387905,shooting
-59,-0.08695652172018312,0.19726008086257749,-0.47358628021083493,0.29967323677046875,shooting
-58,-0.01666666664697672,0.18111974173358208,-0.3716613604447976,0.3383280271508442,shooting
-57,-0.2763157894745754,0.18738391938392363,-0.6435882714670658,0.09095669251791488,shooting
-56,-0.39473684210632204,0.16898603793643713,-0.7259494764617388,-0.06352420775090528,shooting
-55,-0.4210526315799003,0.15987110569658736,-0.7343999987452114,-0.10770526441458911,shooting
-54,-0.10526315789535563,0.166550622259635,-0.4317023775242402,0.22117606173352894,shooting
-53,-0.03947368421107997,0.16979710456086428,-0.37227600915037395,0.29332864072821396,shooting
-52,-0.13157894736904407,0.19549628580876302,-0.5147516675542196,0.25159377281613143,shooting
-51,-0.14473684210578072,0.18666507601446264,-0.5106003910941275,0.22112670688256605,shooting
-50,-0.23684210526391125,0.15518028703122413,-0.5409954678451105,0.06731125731728804,shooting
-49,-0.28947368421110137,0.16905286477338552,-0.620817299166937,0.04186993074473422,shooting
-48,-0.13157894736916073,0.1823107132307339,-0.48890794530139914,0.2257500505630777,shooting
-47,-0.19736842105367508,0.17005789160355253,-0.530681888596638,0.13594504648928785,shooting
-46,-0.32894736842184913,0.16527744360993954,-0.6528911578973307,-0.005003578946367659,shooting
-45,-0.5263157894745336,0.18034617736934236,-0.8797942971184447,-0.17283728183062258,shooting
-44,-0.3026315789478974,0.1756065040763286,-0.6468203269375015,0.0415571690417067,shooting
-43,-0.026315789474095068,0.16692985578492436,-0.35349830681254685,0.3008667278643567,shooting
-42,-0.22368421052648427,0.17684036535832942,-0.5702913266288099,0.12292290557584137,shooting
-41,0.06578947368414656,0.17652204442967187,-0.2801937333980103,0.4117726807663034,shooting
-40,-0.1052631578949875,0.16047787366185803,-0.41979979027222925,0.20927347448225422,shooting
-39,0.10526315789421552,0.1637547848724492,-0.2156962204557849,0.42622253624421597,shooting
-38,-0.11842105263244411,0.15905926529742553,-0.43017721261539815,0.1933351073505099,shooting
-37,-0.25000000000084116,0.17312617870362718,-0.5893273102599504,0.08932731025826812,shooting
-36,-0.2105263157901044,0.19812082389020996,-0.5988431306149159,0.17779049903470712,shooting
-35,-0.11842105263198228,0.19208621749601237,-0.4949100389241665,0.258067933660202,shooting
-34,-0.18421052631590498,0.19043350643836918,-0.5574601989351086,0.18903914630329857,shooting
-33,-0.289473684210907,0.16573806034899036,-0.6143202824949281,0.03537291407311405,shooting
-32,-0.23684210526295169,0.1517002561710854,-0.534174607358279,0.06049039683237567,shooting
-31,0.15789473684262925,0.19100207957707363,-0.21646933912843505,0.5322588128136936,shooting
-30,0.421052631580958,0.2722793188687383,-0.11261483340176909,0.9547200965636851,shooting
-29,1.4078947368449912,0.3495797670256759,0.7227183934746665,2.093071080215316,shooting
