spec,outcome,estimate,std_error,t_stat,p_value,nobs,n_precincts
contemporaneous,shooting,-0.02413462220550721,0.010678674318826317,-2.260076624207772,0.026680353676513596,7392,77
contemporaneous,robbery,0.3299738991276053,0.13919469783263,2.370592445441933,0.020295400356824256,7392,77
contemporaneous,collision,0.08928069168015869,0.014066158661755968,6.3471978261485935,1.4490513219584346e-8,7392,77
lagged_1month,shooting,-0.01941378058905057,0.009434132134204761,-2.0578236888015593,0.0430363987858087,7315,77
lagged_1month,robbery,0.2516092766263841,0.1254394254404656,2.005822935993912,0.048434353821489674,7315,77
lagged_1month,collision,0.05779075416379047,0.009935270970310188,5.816726522757959,1.339474139083773e-7,7315,77
