rel_time,estimate,se,conf_low,conf_high,outcome
-67,-4.2405597138229716e-11,1.0000001631953394e-8,-1.9642408795766883e-8,1.955759760149042e-8,Shooting incidents
-66,-0.7499999999932179,0.3840565180366483,-1.5027507753450484,0.002750775358612789,Shooting incidents
-65,-0.3750000000019479,0.19202825901858028,-0.7513753876783653,0.001375387674469486,Shooting incidents
-64,-0.2727272727262478,0.19750470420012825,-0.6598364929584992,0.11438194750600356,Shooting incidents
-63,-0.36363636363550805,0.1637622495374717,-0.6846103727289525,-0.04266235454206352,Shooting incidents
-62,-1.0062870399638662e-11,0.2239863099143895,-0.4390131674422663,0.4390131674221405,Shooting incidents
-61,0.17647058822261422,0.1916957423098718,-0.1992530667047345,0.5521942431499629,Shooting incidents
-60,0.21212121211508272,0.20112894603250392,-0.18209152210862495,0.6063339463387905,Shooting incidents
-59,-0.08695652172018312,0.19726008086257749,-0.47358628021083493,0.29967323677046875,Shooting incidents
-58,-0.01666666664697672,0.18111974173358208,-0.3716613604447976,0.3383280271508442,Shooting incidents
-57,-0.2763157894745754,0.18738391938392363,-0.6435882714670658,0.09095669251791488,Shooting incidents
-56,-0.39473684210632204,0.16898603793643713,-0.7259494764617388,-0.06352420775090528,Shooting incidents
-55,-0.4210526315799003,0.15987110569658736,-0.7343999987452114,-0.10770526441458911,Shooting incidents
-54,-0.10526315789535563,0.166550622259635,-0.4317023775242402,0.22117606173352894,Shooting incidents
-53,-0.03947368421107997,0.16979710456086428,-0.37227600915037395,0.29332864072821396,Shooting incidents
-52,-0.13157894736904407,0.19549628580876302,-0.5147516675542196,0.25159377281613143,Shooting incidents
-51,-0.14473684210578072,0.18666507601446264,-0.5106003910941275,0.22112670688256605,Shooting incidents
-50,-0.23684210526391125,0.15518028703122413,-0.5409954678451105,0.06731125731728804,Shooting incidents
-49,-0.28947368421110137,0.16905286477338552,-0.620817299166937,0.04186993074473422,Shooting incidents
-48,-0.13157894736916073,0.1823107132307339,-0.48890794530139914,0.2257500505630777,Shooting incidents
-47,-0.19736842105367508,0.17005789160355253,-0.530681888596638,0.13594504648928785,Shooting incidents
-46,-0.32894736842184913,0.16527744360993954,-0.6528911578973307,-0.005003578946367659,Shooting incidents
