outcome,time_bin,estimate,std_error,conf_low,conf_high
Pursuit crashes,-8,0.00757575757575546,0.04269679444215693,-0.07746227843431704,0.09261379358582796
Pursuit crashes,-7,0.030303030303028028,0.03702845507552843,-0.0434455294483599,0.10405159005441596
Pursuit crashes,-6,-0.035353535353537524,0.03671804595932978,-0.10848386177040859,0.03777679106333354
Pursuit crashes,-5,0.030303030303028056,0.04294259612650888,-0.05522456218917274,0.11583062279522885
Pursuit crashes,-4,-0.0328282828282849,0.03308874063665483,-0.09873022124194668,0.03307365558537688
Pursuit crashes,-3,0.06565656565656339,0.04549283955262002,-0.024950276815349323,0.1562634081284761
Pursuit crashes,-2,-0.017676767676769817,0.03285328430693038,-0.08310975416775195,0.04775621881421231
Pursuit crashes,0,-0.08333333333333509,0.07799512791038338,-0.23867409327817773,0.07200742661150755
Pursuit crashes,1,0.08838383838383584,0.06539568932806157,-0.04186296483969626,0.21863064160736795
Pursuit crashes,2,-0.045454545454547496,0.09000353136903833,-0.22471211365355545,0.13380302274446046
Pursuit crashes,3,0.09595959595959352,0.1136303212536361,-0.13035480250639744,0.32227399442558446
Pursuit crashes,4,0.2196969696969668,0.12759992249116417,-0.03444030092146702,0.47383424031540067
Pursuit crashes,5,0.11868686868686634,0.09041534043203513,-0.06139088834331577,0.2987646257170484
Pursuit crashes,6,0.11363636363636195,0.13201180159093404,-0.14928792574214725,0.3765606530148712
Pursuit crashes,7,0.2146464646464617,0.09720135849462803,0.02105318131245934,0.40823974798046403
Pursuit crashes,8,0.0025252525252504043,0.0848759825606669,-0.16651991715750805,0.17157042220800886
Pursuit crashes,9,-0.03282828282828629,0.040101958897175646,-0.11269825595688716,0.04704169030031459
