outcome,no_controls_estimate,with_controls_estimate,no_controls_std_error,with_controls_std_error,no_controls_p_value,with_controls_p_value,pct_change
shooting_incidents,-0.6036796028272449,-0.5741153918566915,0.07620513153017072,0.07733467867256813,1.5539347313430615e-11,1.384758605486537e-10,4.8973347504361175
robbery_count,2.2453827395228414,2.158789954770059,0.9190424529198117,0.8951153097001127,0.016879565325000935,0.018290030189350912,-3.856482159080988
gun_violence_count,-1.3840180228417487,-1.2844642370942054,0.2558379950081951,0.25434236717272346,7.0583306146283315e-07,2.946724838044612e-6,7.193098941235856
collision_count,0.04288839815155539,0.04097419899092789,0.046621074989836385,0.04673611976158673,0.36051702378381767,0.3834049629656733,-4.463209732998797
