outcome,time_bin,estimate,std_error,conf_low,conf_high
Gun violence,-8,-0.27980206927631457,0.6259395348189882,-1.526468696069016,0.9668645575163868
Gun violence,-7,-2.5634278002705506,0.5374695480111836,-3.633891177562523,-1.4929644229785783
Gun violence,-6,2.8067926225816224,0.6455060959136185,1.521155811991807,4.0924294331714375
Gun violence,-5,1.9964012595586622,0.7075145686862511,0.5872638721816976,3.405538646935627
Gun violence,-4,0.47975708501969994,0.4739410142929328,-0.4641782517347446,1.4236924217741445
Gun violence,-3,-1.551956815115327,0.49323606259829034,-2.534321571081323,-0.5695920591493311
Gun violence,-2,-0.7759784075579432,0.49518102658979923,-1.7622168950325725,0.21026007991668605
Gun violence,0,-2.631354026091515,0.5241767609456308,-3.6753425234791868,-1.5873655287038433
Gun violence,1,-3.0713000449849153,0.5015740533098862,-4.070271348670668,-2.0723287412991622
Gun violence,2,-2.34030589293811,0.5529215996224667,-3.4415446981870903,-1.2390670876891297
Gun violence,3,-2.3148897885746367,0.5988363064999661,-3.507575657891396,-1.1222039192578772
Gun violence,4,-3.201979307243132,0.5247367079979629,-4.247083035837785,-2.156875578648479
Gun violence,5,-3.6313540260915516,0.49951077436697827,-4.626215953620658,-2.636492098562445
Gun violence,6,-2.1950067476389634,0.6251014968457921,-3.4400042771546078,-0.9500092181233188
Gun violence,7,-2.710301394512578,0.62819126585576,-3.9614527323355047,-1.4591500566896514
Gun violence,8,-3.2708052181743086,0.6221501799974444,-4.509924690760716,-2.031685745587901
Gun violence,9,-3.358974358975016,0.5880460782765696,-4.530169626287422,-2.18777909166261
