outcome,time_bin,estimate,std_error,conf_low,conf_high
Shooting incidents,-8,-0.03913630229431253,0.20972161331841074,-0.45683309519108084,0.3785604906024558
Shooting incidents,-7,-0.7359424201530833,0.21477798638002799,-1.1637098527808198,-0.30817498752534683
Shooting incidents,-6,0.8918128654969872,0.2641933475554269,0.36562621152051045,1.417999519473464
Shooting incidents,-5,0.7303193882140335,0.28583561113856365,0.16102843064831307,1.299610345779754
Shooting incidents,-4,0.05645524066565577,0.20027486424310154,-0.3424267208476331,0.45533720217894463
Shooting incidents,-3,-0.6102114260010318,0.24972412241936193,-1.107580120591226,-0.11284273141083767
Shooting incidents,-2,-0.14912280701766378,0.2441652524626503,-0.6354200525744989,0.33717443853917123
Shooting incidents,0,-0.7964462438148034,0.22227591001440603,-1.239147085574338,-0.35374540205526883
Shooting incidents,1,-1.1309041835359108,0.20668955041481074,-1.5425620997968594,-0.7192462672749623
Shooting incidents,2,-0.7714799820064355,0.24121809761689444,-1.251907459980597,-0.291052504032274
Shooting incidents,3,-0.5915429599641444,0.27305774186910087,-1.1353845852962556,-0.04770133463203319
Shooting incidents,4,-1.0002249212776975,0.20719784628058574,-1.4128951964921057,-0.5875546460632892
Shooting incidents,5,-1.091767881241713,0.1981457832190451,-1.4864094103956746,-0.6971263520877515
Shooting incidents,6,-0.796896086369907,0.19354088273115957,-1.1823661613520076,-0.41142601138780655
Shooting incidents,7,-0.6497975708503365,0.29063715735370915,-1.2286516364967053,-0.07094350520396775
Shooting incidents,8,-1.0170940170941614,0.24002114473976582,-1.4951375568079104,-0.5390504773804123
Shooting incidents,9,-1.1641925326137383,0.2192624797679175,-1.6008916078902669,-0.7274934573372097
