outcome,estimator,att,se,ci_lower,ci_upper,p_value
Shooting Incidents,SDID,-0.3758279399371767,0.05974697228794596,-0.4929320056215508,-0.25872387425280263,3.167997364469677e-10
Shooting Incidents,SC,1.062598781160039,NA,NA,NA,NA
Shooting Incidents,DiD,-0.6036796028272695,NA,NA,NA,NA
Shooting Incidents,TWFE (fixest),-0.6036796028272449,0.07620513153017072,-0.7530416606263794,-0.4543175450281103,1.5539347313430615e-11
Robberies,SDID,1.428923308652608,0.8416494500128135,-0.22070961337250639,3.0785562306777225,0.08955205014270019
Robberies,SC,12.819337291963523,NA,NA,NA,NA
Robberies,DiD,2.245382739522947,NA,NA,NA,NA
Robberies,TWFE (fixest),2.2453827395228414,0.9190424529198117,0.44405953180001045,4.046705947245672,0.016879565325000935
