pct,weight
9,0.033858520480638345
102,0.03132587657731957
50,0.03129481353871779
108,0.03033809399668331
107,0.02988307917137905
1,0.029520974195421382
7,0.029178379918503798
17,0.02908098096740064
10,0.02891657197604739
94,0.028885101235439525
45,0.02882845386221397
20,0.028788431670276962
60,0.028031373988991908
112,0.02692387944663974
63,0.02687354150908824
18,0.02683724192249484
62,0.0263665261612542
84,0.02613894394309288
24,0.025911329192043996
61,0.025561778437101137
111,0.025437164027687722
78,0.02500111192372585
71,0.024876196709127364
5,0.024704604145760787
30,0.024554487988256386
120,0.02402118784205564
69,0.023916064677253598
122,0.023819241113999256
123,0.02381603126412681
100,0.023746485677080143
22,0.023718988072944744
26,0.02362955345665193
88,0.02319817771627452
66,0.022908603732840236
76,0.022885623138807053
68,0.02255974609720382
101,0.022331420112727592
121,0.022331420112727592
