pct,weight
24,0.03559054535399287
110,0.032689122137343624
26,0.03241143460174878
76,0.032163724232723824
100,0.031339494500042024
102,0.03125398260484493
14,0.03014565457897195
94,0.029769871047930115
121,0.02969394231879751
78,0.02920790575882002
84,0.02913735527729317
61,0.028263215596416258
108,0.02769243064802504
50,0.02747119384386079
9,0.026752961681560748
13,0.02650960192398058
7,0.026273989093367055
72,0.02600317062691729
104,0.025763194725100785
62,0.025269306672313363
5,0.024902403783594717
19,0.02462409906595755
20,0.02446254669040212
109,0.024408516728764443
6,0.024314942239070447
115,0.023755802991623422
10,0.023418423310023542
107,0.02336884193545653
22,0.023205725513381167
122,0.023193279559752013
18,0.0230822563567308
68,0.023034306439998046
1,0.022763710890486878
66,0.02260683120190593
17,0.022300669226283466
123,0.021136544697564208
111,0.02100950107247666
112,0.02100950107247666
