year,n,pct_change
2016,15520,NA
2017,13999,-9.8
2018,12965,-7.4
2019,13434,3.6
2020,13187,-1.8
2021,13860,5.1
2022,17439,25.8
2023,16920,-3
2024,16566,-2.1
2025,11366,-31.4
