year,n,pct_change
2014,100,NA
2015,167,67
2016,82,-50.9
2017,79,-3.7
2018,58,-26.6
2019,73,25.9
2020,69,-5.5
2021,62,-10.1
2022,84,35.5
2023,318,278.6
2024,421,32.4
2025,104,-75.3
2026,9,-91.3
