year,n,pct_change
2016,997,NA
2017,789,-20.9
2018,754,-4.4
2019,777,3.1
2020,1531,97
2021,1562,2
2022,1294,-17.2
2023,974,-24.7
2024,904,-7.2
2025,553,-38.8
