dropped_county,year,synthetic
Erie,2015,830.9999970976368
Erie,2016,851.9999959959669
Erie,2017,902.9999922075345
Erie,2018,681.999994395806
Erie,2019,560.9999960025602
Erie,2020,545.9999957344635
Erie,2021,570.9999948316498
Erie,2022,646.9999941125524
Erie,2023,585.9999957666579
