specification,estimate,se,p_value,ci_lower,ci_upper
Log shootings (with seasonal FE),0.2137798728105924,1e-6,2.977921934339343e-6,0.2137779128105924,0.2137818328105924
Log shootings (simple),0.2137798728105924,0.041435197153455484,1.0457413743441105e-6,0.13256688638981967,0.29499285923136515
