unit_name,type,pre_mspe,post_mspe,mspe_ratio,rank,fishers_exact_pvalue,z_score
Westchester,Donor,543.0487221201126,11.323795466270834,0.020852264272092722,41,1,-0.6367005877902394
Clinton,Donor,32.67540730100813,0.7294842721110035,0.02232517762949192,40,0.975609756097561,-0.6359473987939099
Genesee,Donor,210.0412132321156,6.334632836781434,0.030158999461601187,39,0.9512195121951219,-0.63194149554542
Washington,Donor,35.18997510870601,1.1194797571196249,0.031812462318072665,38,0.926829268292683,-0.6310959807545617
Ontario,Donor,23.3362646212286,1.1941108869338297,0.05116975258532025,37,0.9024390243902439,-0.6211974365158228
Monroe,Donor,780.5868377840965,40.27607694449302,0.05159717663037643,36,0.8780487804878049,-0.6209788689497907
Orange,Donor,218.3968152433562,16.78728140443341,0.07686596247169449,35,0.8536585365853658,-0.6080574222464413
Suffolk,Donor,392.1054780178839,35.427658068820804,0.09035236704141367,34,0.8292682926829268,-0.601161014205241
Ulster,Donor,360.97337564833964,35.742227006678,0.0990162416895203,33,0.8048780487804879,-0.5967306551364266
Wayne,Donor,279.77430106859094,28.650472056044542,0.10240566037200265,32,0.7804878048780488,-0.5949974419485805
Chautauqua,Donor,130.55202998847284,21.041708542323565,0.1611748859376714,31,0.7560975609756098,-0.5649452098899191
Oswego,Donor,40.71560241793719,11.580136301518344,0.28441520237501716,30,0.7317073170731707,-0.5019250398449774
Sullivan,Donor,158.19767005632568,45.14676268828166,0.28538196973575736,29,0.7073170731707317,-0.5014306736730216
Madison,Donor,29.15383372025478,8.578217126027234,0.2942397630561867,28,0.6829268292682927,-0.4969011523490464
Livingston,Donor,153.56859846039495,50.650375860225175,0.32982247912673246,27,0.6585365853658537,-0.4787055741303982
Putnam,Donor,42.82382296186364,18.70735845290003,0.43684466166319846,26,0.6341463414634146,-0.4239787092780367
Fulton,Donor,178.25079790532104,91.90432973927325,0.5155900047532398,25,0.6097560975609756,-0.3837114894652363
Rensselaer,Donor,396.38001267015835,205.200070230824,0.5176852103326869,24,0.5853658536585366,-0.3826400851089922
Otsego,Donor,84.70823086079648,44.64886357518607,0.5270900256264218,23,0.5609756097560976,-0.37783083862061795
Chemung,Donor,1278.797600899864,705.3621001278134,0.5515822829441221,22,0.5365853658536586,-0.36530647755464607
Nassau,Donor,64.41824473370465,39.94036119170194,0.6200162912977433,21,0.5121951219512195,-0.33031206202590374
Cayuga,Donor,58.9906110729765,37.66906818355155,0.6385603996702399,20,0.4878048780487805,-0.3208293464929499
Broome,Donor,492.75580313427764,359.6751141199582,0.7299256788700782,19,0.4634146341463415,-0.274108795963492
St Lawrence,Donor,29.071368995896695,21.682414233564895,0.7458339590621026,18,0.43902439024390244,-0.2659739375680769
Schenectady,Donor,842.1324338697968,647.5529073761272,0.7689442673529021,17,0.4146341463414634,-0.25415624997703895
Columbia,Donor,52.49810232437488,41.28599547560114,0.7864283402189196,16,0.3902439024390244,-0.24521559421643202
Tompkins,Donor,54.449163778466925,43.3389494355681,0.7959525257706052,15,0.36585365853658536,-0.24034530655117806
Rockland,Donor,39.206203082963015,37.52647255276868,0.9571565110082221,14,0.34146341463414637,-0.15791203426433112
Albany,Donor,200.92764816831541,231.08126954241692,1.150072036621073,13,0.3170731707317073,-0.059262748219922216
Oneida,Donor,1747.3953922879923,2253.248474856392,1.2894897656254256,12,0.2926829268292683,0.012029903755705394
Saratoga,Donor,11.027935483705779,14.91934970312844,1.3528687871970582,11,0.2682926829268293,0.04443940116848516
Dutchess,Donor,110.22610264039704,160.3826303079548,1.4550331225189828,10,0.24390243902439024,0.09668215719702368
Jefferson,Donor,101.6209144404011,159.2743612938335,1.567338398506984,9,0.21951219512195122,0.15411058479527712
Warren,Donor,19.349100788294187,40.3232412745908,2.083985282612489,8,0.1951219512195122,0.41830314312963557
Onondaga,Donor,72.74724841002146,168.6331316499831,2.3180688663236464,7,0.17073170731707318,0.5380041279750151
NYC,Treated,5516.466407184518,14999.17165246766,2.7189817802448837,6,0.14634146341463414,0.7430149615959615
Niagara,Donor,418.3843652545549,1191.9856496294678,2.8490205385763776,5,0.12195121951219512,0.8095115829889301
Herkimer,Donor,36.736894499103315,107.99882979595398,2.9397920338255608,4,0.0975609756097561,0.8559284961485565
Steuben,Donor,11.168831613406827,61.904813782551614,5.542640083161644,3,0.07317073170731707,2.186920913339381
Erie,Donor,410.7839688559642,2463.06116830695,5.996001195388881,2,0.04878048780487805,2.418751658425544
Cattaraugus,Donor,35.253811442375024,356.6998337689682,10.11805019584962,1,0.024390243902439025,4.526602696561136
