specification,estimate,se,p_value,ci_lower,ci_upper,sig
Robbery (levels),406.4701754385933,69.92375060064919,1.1105669367062134e-8,269.4196242613209,543.5207266158657,***
Robbery (log),0.283917065930947,0.18987281834987169,0.13548353355974618,-0.08823365803480149,0.6560677898966956,
Violent crime (log),0.18739110302860004,0.08583864079414914,0.029507970714710872,0.01914736707206771,0.3556348389851324,*
MVT (log),0.675265843261708,0.14681721646801757,5.409835249378674e-6,0.3875040989843936,0.9630275875390224,***
Robbery excl. border counties,0.2928708888130218,0.19534820687403137,0.13452120390710956,-0.09001159666007968,0.6757533742861233,
Robbery incl. 2024,-0.017568320436262008,0.14653064036013597,0.9046101086908599,-0.3047683755421285,0.2696317346696045,
