time_unit,real_y,synth_y,gap
2002,321.1697187756839,197.03290952484582,124.1368092508381
2003,306.5437519285045,199.45242139636272,107.09133053214177
2004,287.48281448895455,177.99235771040873,109.49045677854582
2005,291.59931644836234,206.50059295530434,85.098723493058
2006,277.31540850325405,207.86816562012461,69.44724288312943
2007,256.980596531853,191.7730958892902,65.20750064256279
2008,261.6868552189696,188.19643174638216,73.49042347258742
2009,219.35411730402853,201.87193585848456,17.482181445543972
2010,231.27899833830142,177.15079632737766,54.12820201092376
2011,233.2251955397406,180.41186583846755,52.81332970127306
2012,238.27351312892836,168.7350742613788,69.53843886754956
2013,226.11272940357193,157.89985210111854,68.21287730245339
2014,195.57512604280782,157.4790488099297,38.096077232878116
2015,199.88035015508243,136.96575805322314,62.914592101859284
2016,183.34357151012637,135.49300908148157,47.85056242864479
2017,165.0729080857063,116.87324977505781,48.19965831064849
2018,152.8885340912415,117.82000140414586,35.06853268709564
2019,158.0076224877543,105.40682991820029,52.60079256955402
2020,155.48346369316042,95.41316057685562,60.0703031163048
2021,164.05852651404706,87.41823386621047,76.64029264783659
2022,205.6245806829666,78.16097087895324,127.46360980401337
2023,196.04693142497493,76.58302113790795,119.46391028706698
2024,195.25665740984508,69.8504476598533,125.40620974999177
