month_date,shooting_incidents,boro,pop_2020,state,year,month,shooting_rate,treated
2017-07-01T00:00:00Z,72,Baltimore,585708,MD,2017,7,147.51377819664407,0
2017-08-01T00:00:00Z,56,Baltimore,585708,MD,2017,8,114.73293859738982,0
2017-09-01T00:00:00Z,54,Baltimore,585708,MD,2017,9,110.63533364748305,0
2017-10-01T00:00:00Z,71,Baltimore,585708,MD,2017,10,145.46497572169068,0
2017-11-01T00:00:00Z,36,Baltimore,585708,MD,2017,11,73.75688909832203,0
2017-12-01T00:00:00Z,50,Baltimore,585708,MD,2017,12,102.44012374766947,0
2018-01-01T00:00:00Z,34,Baltimore,585708,MD,2018,1,69.65928414841525,0
2018-02-01T00:00:00Z,21,Baltimore,585708,MD,2018,2,43.02485197402119,0
2018-03-01T00:00:00Z,42,Baltimore,585708,MD,2018,3,86.04970394804238,0
2018-04-01T00:00:00Z,49,Baltimore,585708,MD,2018,4,100.39132127271611,0
2018-05-01T00:00:00Z,51,Baltimore,585708,MD,2018,5,104.48892622262288,0
2018-06-01T00:00:00Z,43,Baltimore,585708,MD,2018,6,88.09850642299577,0
2018-07-01T00:00:00Z,49,Baltimore,585708,MD,2018,7,100.39132127271611,0
2018-08-01T00:00:00Z,74,Baltimore,585708,MD,2018,8,151.61138314655085,0
2018-09-01T00:00:00Z,54,Baltimore,585708,MD,2018,9,110.63533364748305,0
2018-10-01T00:00:00Z,58,Baltimore,585708,MD,2018,10,118.8305435472966,0
2018-11-01T00:00:00Z,39,Baltimore,585708,MD,2018,11,79.9032965231822,0
2018-12-01T00:00:00Z,59,Baltimore,585708,MD,2018,12,120.87934602224999,0
2019-01-01T00:00:00Z,46,Baltimore,585708,MD,2019,1,94.24491384785594,0
2019-02-01T00:00:00Z,33,Baltimore,585708,MD,2019,2,67.61048167346186,0
2019-03-01T00:00:00Z,41,Baltimore,585708,MD,2019,3,84.00090147308897,0
2019-04-01T00:00:00Z,56,Baltimore,585708,MD,2019,4,114.73293859738982,0
2019-05-01T00:00:00Z,49,Baltimore,585708,MD,2019,5,100.39132127271611,0
2019-06-01T00:00:00Z,65,Baltimore,585708,MD,2019,6,133.17216087197033,0
2019-07-01T00:00:00Z,67,Baltimore,585708,MD,2019,7,137.26976582187712,0
2019-08-01T00:00:00Z,70,Baltimore,585708,MD,2019,8,143.4161732467373,0
2019-09-01T00:00:00Z,53,Baltimore,585708,MD,2019,9,108.58653117252965,0
2019-10-01T00:00:00Z,57,Baltimore,585708,MD,2019,10,116.78174107234322,0
2019-11-01T00:00:00Z,36,Baltimore,585708,MD,2019,11,73.75688909832203,0
2019-12-01T00:00:00Z,50,Baltimore,585708,MD,2019,12,102.44012374766947,0
2020-01-01T00:00:00Z,33,Baltimore,585708,MD,2020,1,67.61048167346186,0
2020-02-01T00:00:00Z,35,Baltimore,585708,MD,2020,2,71.70808662336864,0
2020-03-01T00:00:00Z,38,Baltimore,585708,MD,2020,3,77.8544940482288,0
2020-04-01T00:00:00Z,39,Baltimore,585708,MD,2020,4,79.9032965231822,0
2020-05-01T00:00:00Z,47,Baltimore,585708,MD,2020,5,96.2937163228093,0
2020-06-01T00:00:00Z,59,Baltimore,585708,MD,2020,6,120.87934602224999,0
2020-07-01T00:00:00Z,59,Baltimore,585708,MD,2020,7,120.87934602224999,0
2020-08-01T00:00:00Z,69,Baltimore,585708,MD,2020,8,141.3673707717839,0
2020-09-01T00:00:00Z,56,Baltimore,585708,MD,2020,9,114.73293859738982,0
2020-10-01T00:00:00Z,60,Baltimore,585708,MD,2020,10,122.9281484972034,0
2020-11-01T00:00:00Z,40,Baltimore,585708,MD,2020,11,81.9520989981356,0
2020-12-01T00:00:00Z,49,Baltimore,585708,MD,2020,12,100.39132127271611,0
2021-01-01T00:00:00Z,42,Baltimore,585708,MD,2021,1,86.04970394804238,0
2021-02-01T00:00:00Z,34,Baltimore,585708,MD,2021,2,69.65928414841525,0
