outcome,spec,term,estimate,std_err,t_stat,p_value,n_obs
shooting_rate,contemporaneous,pursuit_rate,0.011166672196454756,0.0541066901450907,0.20638246705741156,0.8369338357227125,480
robbery_rate,contemporaneous,pursuit_rate,1.2437206349947052,0.37941264054468354,3.278015812043647,0.0014611414822034237,480
shooting_rate,lagged_t1,pursuit_rate_lag1,-0.005122321982367628,0.05413800510022703,-0.0946160090842754,0.9248212311435923,475
robbery_rate,lagged_t1,pursuit_rate_lag1,1.0417864226734312,0.4205978371770558,2.476918164072438,0.015039313590096252,475
