dropped_id,dropped_city,estimate,std.error,p.value,conf.low,conf.high
2965000,"St. Louis, MO",-0.6716227738679985,1.5879240993726,0.6732729739894989,-3.823627199011036,2.4803816512750396
2404000,"Baltimore, MD",-0.40103067222967986,1.6960886255402818,0.8135916031099569,-3.7677399848788267,2.965678640419467
2622000,"Detroit, MI",-0.3455361061166387,1.7120315068624294,0.840478161001469,-3.7438917880707128,3.0528195758374355
3611000,"Buffalo, NY",-0.2441471138577303,1.7361017147624598,0.8884572989977415,-3.6902817808684487,3.201987553152988
3451000,"Newark, NJ",-0.23368101486934062,1.7382229472016582,0.8933386861011859,-3.68402629499296,3.2166642652542787
4260000,"Philadelphia, PA",-0.217401913792861,1.741389309608896,0.9009081486620232,-3.674032373619442,3.23922854603372
1714000,"Chicago, IL",-0.18489849921377277,1.747230052049129,0.9159429745376005,-3.6531227411518596,3.2833257427243145
2255000,"New Orleans, LA",-0.17306440813784918,1.7491983129739623,0.9213927901259394,-3.645195617132713,3.2990668008570143
5157000,"Norfolk, VA",-0.11814109844687376,1.757237346101506,0.946537506150444,-3.606229662079721,3.3699474651859735
665000,"San Bernardino, CA",-0.04567008710719181,1.7651152490296558,0.9794117742805544,-3.5493961644601137,3.4580559902457297
653000,"Oakland, CA",-0.03419406908123606,1.7660804960995808,0.984592861692418,-3.539836146724702,3.4714480085622297
627000,"Fresno, CA",-0.022216466556466235,1.7670060451851786,0.9899945990383019,-3.5296957446143873,3.485262811501455
3436000,"Jersey City, NJ",-0.020028280961319696,1.7671661082765948,0.990980841610644,-3.5278252817445557,3.4877687198219167
3728000,"Greensboro, NC",0.01072646716637478,1.7691213161453943,0.9951749089773778,-3.5009515905621935,3.5224045248949434
603526,"Bakersfield, CA",0.02250576512377629,1.7697247864521202,0.9898798878004256,-3.490370171696113,3.535381701943665
1235000,"Jacksonville, FL",0.02926578524043303,1.7700347995931687,0.9868426784040123,-3.484225522800803,3.5427570932816694
4261000,"Pittsburgh, PA",0.030199146337370256,1.7700755238699473,0.9864234104440104,-3.4833729987543696,3.54377129142911
2146027,"Lexington-Fayette, KY",0.03169215034839519,1.7701396175800648,0.985752789230465,-3.4820072197523952,3.5453915204491855
4075000,"Tulsa, OK",0.040939071871232885,1.7705078368406608,0.9816003253385559,-3.473491207685041,3.5553693514275064
3977000,"Toledo, OH",0.0481028197552167,1.770759088252306,0.978384454759802,-3.466826189911421,3.5630318294218544
1253000,"Orlando, FL",0.05227108831300112,1.7708916195109847,0.9765136812441573,-3.4629209938229,3.567463170448902
2507000,"Boston, MA",0.05620886529190037,1.7710075932406544,0.9747466013327724,-3.459213422877944,3.571631153461744
3137000,"Omaha, NE",0.056902479459960784,1.7710270926056777,0.9744353648963769,-3.4585585146435394,3.5723634735634606
1825000,"Fort Wayne, IN",0.07262666632617515,1.7713945347468927,0.9673812743383514,-3.4435636946630286,3.588817027315379
2938000,"Kansas City, MO",0.07461574322135778,1.771430835527573,0.9664891356071932,-3.4416466742479925,3.5908781606907083
