dropped,estimate,se,p_value,conf_low,conf_high,n_pre_sig,n_pre_total,parallel_ok
(Full model),24.389814790962344,3.8847822929861096,6.017096716550731e-5,15.839466613913148,32.94016296801154,0,4,TRUE
Baltimore,24.157145040659657,4.347042915007835,2.416800769277475e-4,14.471329830479034,33.84296025084028,1,4,FALSE
Boston,27.545749614415108,2.5879194529923844,8.945565626445263e-7,21.77950573539171,33.31199349343851,0,4,TRUE
Buffalo,22.241873851835393,3.814555589246657,1.6587182642513527e-4,13.742514340373521,30.741233363297265,0,4,TRUE
Chicago,24.407256423605556,4.587896765384628,3.377847987338801e-4,14.18478539174991,34.6297274554612,0,4,TRUE
Philadelphia,24.63706736864444,4.580716576011182,3.1078307181601995e-4,14.430594795696392,34.84353994159249,0,4,TRUE
Rochester,24.72861354342157,4.570548748421761,2.970027329558395e-4,14.544796302165807,34.91243078467733,0,4,TRUE
Syracuse,22.86286165893039,4.217806579240639,2.9277650756736804e-4,13.465002949561,32.260720368299786,0,4,TRUE
