term,estimate,std.error,statistic,p.value,conf.low,conf.high,event_year,pre_period,sig
year_fct::2018:treated,5.919296072816166,2.6690093798102548,2.2177876621913484,0.02890311867956292,0.6220512730179477,11.216540872614384,2018,TRUE,TRUE
year_fct::2019:treated,5.918180039497979,2.5579552641963965,2.3136370374941744,0.022798842576232367,0.8413469178608635,10.995013161135095,2019,TRUE,TRUE
year_fct::2020:treated,3.6630786543406764,1.519336408394585,2.4109727339525078,0.017793175032420477,0.6476164572447312,6.678540851436622,2020,TRUE,TRUE
year_fct::2022:treated,-0.3743622332971501,0.8898671234970893,-0.4206945322644844,0.6749087468471863,-2.140502145773393,1.3917776791790928,2022,FALSE,FALSE
year_fct::2023:treated,-0.2286976428589078,1.8476845053656965,-0.1237752669326215,0.9017493364824367,-3.895839921096986,3.4384446353791702,2023,FALSE,FALSE
year_fct::2024:treated,4.764374608850603,2.4437247020040194,1.9496363910973662,0.054107189835657106,-0.0857424674518894,9.614491685153094,2024,FALSE,FALSE
year_fct::2025:treated,13.949453235068733,3.4252514386070194,4.072534085480654,9.501309554938502e-5,7.151277286937625,20.74762918319984,2025,FALSE,TRUE
