term,estimate,std.error,statistic,p.value,conf.low,conf.high,outcome,event_year
year_fct::2018:nyc,13.900893836956556,11.7396007050042,1.184102780517149,0.26132800962523384,-11.93779310015903,39.73958077407214,shooting_rate,2018
year_fct::2019:nyc,18.176542513317813,10.797010365804772,1.6834792129944387,0.12041397357794963,-5.5875170751740875,41.940602101809716,shooting_rate,2019
year_fct::2020:nyc,-5.608790554392943,6.605493776268584,-0.849109959734354,0.4139176016663877,-20.147384331037777,8.92980322225189,shooting_rate,2020
year_fct::2021:nyc,-9.39145244514869,6.262467331107285,-1.4996409479852986,0.16184972507648482,-23.175050106474515,4.392145216177134,shooting_rate,2021
year_fct::2023:nyc,15.5638883593789,4.406942967893916,3.53167455825209,0.004700982928644401,5.864272285674188,25.26350443308361,shooting_rate,2023
year_fct::2024:nyc,31.956700823142526,8.16188133612206,3.915359646520671,0.002412001516368553,13.992521123908958,49.920880522376095,shooting_rate,2024
year_fct::2025:nyc,36.5372281642732,8.977790087299052,4.069735180817236,0.0018522588053097348,16.77724541171017,56.297210916836235,shooting_rate,2025
