month_date,boro,shooting_incidents,shooting_rate,pop_2020,year,month,treated
2018-01-01T00:00:00Z,Manhattan,7,4.957943067467571,1694251,2018,1,1
2018-01-01T00:00:00Z,Brooklyn,13,5.701600176018632,2736074,2018,1,1
2018-01-01T00:00:00Z,Queens,12,5.986371028624831,2405464,2018,1,1
2018-01-01T00:00:00Z,Bronx,26,21.186239265978294,1472654,2018,1,1
2018-01-01T00:00:00Z,Staten Island,1,2.4205895345811475,495747,2018,1,1
2018-02-01T00:00:00Z,Manhattan,4,2.8331103242671833,1694251,2018,2,1
2018-02-01T00:00:00Z,Brooklyn,13,5.701600176018632,2736074,2018,2,1
2018-02-01T00:00:00Z,Queens,6,2.9931855143124153,2405464,2018,2,1
2018-02-01T00:00:00Z,Bronx,12,9.778264276605366,1472654,2018,2,1
2018-02-01T00:00:00Z,Staten Island,1,2.4205895345811475,495747,2018,2,1
2018-03-01T00:00:00Z,Manhattan,2,1.4165551621335917,1694251,2018,3,1
2018-03-01T00:00:00Z,Brooklyn,22,9.648861836339222,2736074,2018,3,1
2018-03-01T00:00:00Z,Queens,9,4.489778271468623,2405464,2018,3,1
2018-03-01T00:00:00Z,Bronx,12,9.778264276605366,1472654,2018,3,1
2018-03-01T00:00:00Z,Staten Island,1,2.4205895345811475,495747,2018,3,1
2018-04-01T00:00:00Z,Manhattan,7,4.957943067467571,1694251,2018,4,1
2018-04-01T00:00:00Z,Brooklyn,26,11.403200352037263,2736074,2018,4,1
2018-04-01T00:00:00Z,Queens,4,1.9954570095416102,2405464,2018,4,1
2018-04-01T00:00:00Z,Bronx,11,8.963408920221587,1472654,2018,4,1
2018-04-01T00:00:00Z,Staten Island,1,2.4205895345811475,495747,2018,4,1
2018-05-01T00:00:00Z,Manhattan,10,7.082775810667959,1694251,2018,5,1
2018-05-01T00:00:00Z,Brooklyn,33,14.473292754508833,2736074,2018,5,1
2018-05-01T00:00:00Z,Queens,10,4.988642523854026,2405464,2018,5,1
2018-05-01T00:00:00Z,Bronx,22,17.926817840443174,1472654,2018,5,1
2018-05-01T00:00:00Z,Staten Island,2,4.841179069162295,495747,2018,5,1
2018-06-01T00:00:00Z,Manhattan,9,6.374498229601164,1694251,2018,6,1
2018-06-01T00:00:00Z,Brooklyn,29,12.718954238810792,2736074,2018,6,1
2018-06-01T00:00:00Z,Queens,13,6.485235281010233,2405464,2018,6,1
2018-06-01T00:00:00Z,Bronx,17,13.85254105852427,1472654,2018,6,1
2018-06-01T00:00:00Z,Staten Island,2,4.841179069162295,495747,2018,6,1
2018-07-01T00:00:00Z,Manhattan,11,7.791053391734755,1694251,2018,7,1
2018-07-01T00:00:00Z,Brooklyn,43,18.859139043753935,2736074,2018,7,1
2018-07-01T00:00:00Z,Queens,17,8.480692290551843,2405464,2018,7,1
2018-07-01T00:00:00Z,Bronx,17,13.85254105852427,1472654,2018,7,1
2018-07-01T00:00:00Z,Staten Island,1,2.4205895345811475,495747,2018,7,1
2018-08-01T00:00:00Z,Manhattan,9,6.374498229601164,1694251,2018,8,1
2018-08-01T00:00:00Z,Brooklyn,28,12.280369609886282,2736074,2018,8,1
2018-08-01T00:00:00Z,Queens,11,5.487506776239429,2405464,2018,8,1
2018-08-01T00:00:00Z,Bronx,24,19.556528553210732,1472654,2018,8,1
2018-08-01T00:00:00Z,Staten Island,4,9.68235813832459,495747,2018,8,1
2018-09-01T00:00:00Z,Manhattan,6,4.249665486400775,1694251,2018,9,1
2018-09-01T00:00:00Z,Brooklyn,34,14.911877383433342,2736074,2018,9,1
2018-09-01T00:00:00Z,Queens,10,4.988642523854026,2405464,2018,9,1
2018-09-01T00:00:00Z,Bronx,20,16.29710712767561,1472654,2018,9,1
2018-09-01T00:00:00Z,Staten Island,1,2.4205895345811475,495747,2018,9,1
2018-10-01T00:00:00Z,Manhattan,6,4.249665486400775,1694251,2018,10,1
2018-10-01T00:00:00Z,Brooklyn,23,10.087446465263731,2736074,2018,10,1
2018-10-01T00:00:00Z,Queens,5,2.494321261927013,2405464,2018,10,1
2018-10-01T00:00:00Z,Bronx,31,25.260516047897198,1472654,2018,10,1
2018-10-01T00:00:00Z,Staten Island,3,7.261768603743441,495747,2018,10,1
2018-11-01T00:00:00Z,Manhattan,8,5.666220648534367,1694251,2018,11,1
2018-11-01T00:00:00Z,Brooklyn,26,11.403200352037263,2736074,2018,11,1
2018-11-01T00:00:00Z,Queens,6,2.9931855143124153,2405464,2018,11,1
2018-11-01T00:00:00Z,Bronx,15,12.222830345756709,1472654,2018,11,1
2018-11-01T00:00:00Z,Staten Island,0,0,495747,2018,11,1
2018-12-01T00:00:00Z,Manhattan,7,4.957943067467571,1694251,2018,12,1
2018-12-01T00:00:00Z,Brooklyn,21,9.210277207414713,2736074,2018,12,1
2018-12-01T00:00:00Z,Queens,7,3.492049766697818,2405464,2018,12,1
2018-12-01T00:00:00Z,Bronx,20,16.29710712767561,1472654,2018,12,1
2018-12-01T00:00:00Z,Staten Island,3,7.261768603743441,495747,2018,12,1
2019-01-01T00:00:00Z,Manhattan,7,4.957943067467571,1694251,2019,1,1
2019-01-01T00:00:00Z,Brooklyn,19,8.333107949565692,2736074,2019,1,1
2019-01-01T00:00:00Z,Queens,8,3.9909140190832204,2405464,2019,1,1
2019-01-01T00:00:00Z,Bronx,16,13.03768570214049,1472654,2019,1,1
