city,population,b1_coef,b1_se,b1_p,b2_coef,b2_se,b2_p,b3_coef,b3_se,b3_p,dw
NYC,8336817,0.015636216512132615,0.00241311216158347,7.891535557805545e-9,-0.3987894995923407,0.11099512020067769,5.74184176633565e-4,-0.02786376881452681,0.0036358028878319183,4.506144398456538e-11,0.8574359097641179
Baltimore,585708,0.0018496898971464434,0.011505099260344194,0.872694575818237,0.6225198075238939,0.8279726135298227,0.4544271222752678,-0.2557179247198944,0.05016901846270301,2.399424969777796e-6,1.1954881276857263
Boston,675647,-0.009749777218297827,0.0037043312009579906,0.010251478291926613,-0.004212085263252506,0.25089976157147925,0.9866492305910763,-0.0037721782955164674,0.009746508399796452,0.6998025968071337,1.8291673027784179
Philadelphia,1603797,0.063727059240981307,0.005435429158186518,8.390908374885741e-19,-1.4994767114424952,0.35244422522221636,5.8400492342451886e-5,-0.17468434450606998,0.015392511652564347,4.1564238052575725e-18,1.3707358875512583
