boro,outcome,b2,b2_nw_se,b2_p,b3,b3_nw_se,b3_p
Bronx,Gun Violence,-37.25887484850943,12.806013832388613,0.004686013750356771,-2.2676294358661644,0.39365453643568654,1.4992829752716817e-7
Brooklyn,Gun Violence,-37.405515608451495,12.008212512034325,0.002553493739497992,-2.308908908870272,0.3488039771293344,3.781667953906101e-9
Manhattan,Gun Violence,-27.805188673667526,7.237136922036741,2.432670446702377e-4,-1.4096647603092336,0.1869481977810137,6.389205304795329e-11
Queens,Gun Violence,-26.63586090014183,4.734914132398889,2.6319469944022453e-7,-1.4040197573016473,0.14434353076908366,3.297955340572716e-15
Staten Island,Gun Violence,-2.3582954879643068,0.9978295282939846,0.020533605434525957,-0.202211160391369,0.035318005452748484,1.7356316037266173e-7
Bronx,Pursuit Crashes,7.283568351211793,1.7270330224008525,6.461678115861402e-5,-0.13056927593180945,0.07846966800245703,0.10003583881235292
Brooklyn,Pursuit Crashes,3.5136904011438923,1.4254452245804152,0.015843493965999277,-0.032468361653446486,0.07109693015449894,0.6491404766564006
Manhattan,Pursuit Crashes,2.158193045536513,0.8604603933711007,0.014157553668854116,-0.017356952254535596,0.032546363603418026,0.5953049566585404
Queens,Pursuit Crashes,6.858435342580809,2.917963127674832,0.021215855745229602,-0.11890197384662644,0.11489203736960821,0.30383304728206906
Staten Island,Pursuit Crashes,1.3720593588105876,0.7366511475923138,0.06619473801088858,-0.01810414242968445,0.027501224129751718,0.5122334176771836
Bronx,Robbery,-7.109889592003465,18.77795528361949,0.7059659065104048,-4.521253329047775,0.8513817548542056,9.58057727882862e-7
Brooklyn,Robbery,-6.881520395695812,19.954645595562013,0.7311060871681864,-1.7547191346657232,0.5539760536674323,0.0021773082395322827
Manhattan,Robbery,-37.399674620608415,10.453620002123818,5.921972019847054e-4,-4.56889497184777,0.4693676641271337,3.1925375534963294e-15
Queens,Robbery,35.738410563562184,21.3676001375111,0.09832233903586858,-2.563309250931965,0.6002967030622948,5.335333836461021e-5
Staten Island,Robbery,8.054684948419624,2.092275673720173,2.3690275251854044e-4,-0.03567178212400161,0.09485200728655759,0.7078541716117834
Bronx,Shooting Incidents,-12.076300241413808,3.4645913286662178,7.999531157701667e-4,-0.6849233005790032,0.14283320930391558,7.393186519770464e-6
Brooklyn,Shooting Incidents,-7.640833660727065,3.663319225359459,0.04018673788043119,-0.7223741244058686,0.09987381205268066,2.5239875999924777e-10
Manhattan,Shooting Incidents,-5.851356365190762,1.7274369584692437,0.0010971115165976802,-0.5085456462474255,0.05546781634675293,4.102716714567764e-14
Queens,Shooting Incidents,-6.621902141563893,1.9647516624203218,0.0011578643208308356,-0.38096617011353284,0.051962432999887724,1.6256601994201817e-10
Staten Island,Shooting Incidents,-0.48327143427430314,0.46020394722881686,0.296822838363664,-0.06758456638331024,0.016879578308942576,1.385137146279081e-4
