outcome,abs_effect,abs_effect_lower,abs_effect_upper,rel_effect,p_value
Robberies,74.75328048313327,-9.074511302250073,159.1317857037755,0.06451511622796821,0.04024024024024024
Shootings,-30.93895143481714,-49.00368291268187,-12.32704547300412,-0.3042396663300218,0.0012014417300760913
Pursuits,188.5980155838435,185.1652514926035,192.07784892090132,13.428645028283432,2.002002002002002e-4
Collisions,17.017001619945443,16.055701810541883,17.96313302675856,3.171972399446171,2.002002002002002e-4
Gun Violence,-68.12285990171893,-126.370379620251,-10.285201799285748,-0.2180424423313086,0.011013215859030838
