outcome,term,estimate,std.error,p.value,conf.low,conf.high
Pursuits,t,0.27099481735055736,0.649598662325748,0.6776694871033857,-1.0217477190397324,1.5637373537408472
Pursuits,post,250.27154313819875,34.490110658568994,2.2736116368768796e-10,181.6340355215625,318.909050754835
Pursuits,t_since,-3.8201123714089325,1.288360672571545,0.003986643753996759,-6.38403181927634,-1.2561929235415246
Pursuits,covid,2.5996108727221614,23.93253879557001,0.9137739438231414,-45.02765916209466,50.22688090753898
Collisions,t,-0.0033789126639942853,0.07606597358260571,0.9646796601041548,-0.1547550242928449,0.14799719896485633
Collisions,post,24.556812862818433,4.038684188207677,3.8794947725239725e-8,16.51957518986763,32.594050535769235
Collisions,t_since,-0.3806877249389832,0.1508630090675155,0.013603364427560178,-0.6809146809046236,-0.08046076897334281
Collisions,covid,-0.08695754034502194,2.802425511885722,0.9753233877006684,-5.6639620423390635,5.4900469616490195
Robberies,t,7.799985522854961,1.9197839703955375,1.1243301742566662e-4,3.9794936666601735,11.620477379049747
Robberies,post,169.32483528235386,101.92995370776418,0.10059002583673676,-33.52223712162663,372.17190768633435
Robberies,t_since,-26.867936507697816,3.8075419651196363,5.52484050762979e-10,-34.445186497373676,-19.290686518021957
Robberies,covid,-239.14308917326514,70.72875456071195,0.0011188842239112338,-379.89779645542154,-98.38838189110874
Shootings,t,1.2997384855426717,0.19541122293561544,3.290967439184886e-9,0.9108577586759056,1.6886192124094377
Shootings,post,-26.10747472648239,10.375259516153301,0.013858749451376969,-46.75489917560118,-5.460050277363603
Shootings,t_since,-2.8592061525591568,0.38756258165308516,1.3248278274424685e-10,-3.630480269753901,-2.0879320353644126
Shootings,covid,40.25049391396795,7.199347759203395,3.0372343712054464e-7,25.923335281487113,54.57765254644879
Gun Violence,t,5.097768180785039,0.5354223797049004,8.34088265425117e-15,4.032243688013308,6.16329267355677
Gun Violence,post,-124.89754640204718,28.42797899087422,3.389564526461562e-5,-181.47102753197584,-68.32406527211852
Gun Violence,t_since,-8.087246367568703,1.0619128043717345,4.557703314911537e-11,-10.20052019611062,-5.973972539026786
Gun Violence,covid,105.88606055695652,19.72605181855843,7.589316057508465e-7,66.62996638707364,145.1421547268394
