outcome,term,estimate,std.error,p.value
Pursuits,t,0.1504807937483279,0.05163708921152532,0.004622565964800387
Pursuits,post,130.94096574027782,38.90770513199693,0.0011760994708646046
Pursuits,t_since,-2.063009197218274,1.6488505641482578,0.2145152954245316
Pursuits,covid,1.234059686827715,2.006660689669989,0.540312161002261
Collisions,t,-0.003378912663994515,0.0265050678709432,0.8988790091164958
Collisions,post,24.556812862818447,8.540855166411268,0.005171559402587835
Collisions,t_since,-0.3806877249389829,0.369755138730056,0.30631602916797807
Collisions,covid,-0.08695754034502248,0.8498657279291851,0.9187593909488736
Robberies,t,7.887775184037595,1.2077625127532556,5.565354722053681e-9
Robberies,post,-7.735000941116382,64.24270764035248,0.9044659640893589
Robberies,t_since,-13.457027916103053,1.9879968500591232,1.9634084566793857e-9
Robberies,covid,-235.88968666526145,38.334194435116615,2.838956242168571e-8
Shootings,t,1.3028674468304653,0.20164895019980392,7.539279206609832e-9
Shootings,post,-32.67366384316985,8.824735724571427,3.908883654072894e-4
Shootings,t_since,-2.36439380772914,0.2705701699392201,2.868007296920296e-13
Shootings,covid,40.43352745459824,11.43699943273523,6.804815859615054e-4
Gun Violence,t,5.100897142072831,0.687005220803286,1.0718064842422104e-10
Gun Violence,post,-131.46373551873464,33.606220957049175,1.910942023493904e-4
Gun Violence,t_since,-7.5924340227386855,0.9584121428309328,1.1502166281583094e-11
Gun Violence,covid,106.06909409758686,30.581963491174086,8.459592484234813e-4
