boro,mean_pre,mean_post,ratio
Queens,2.2,33.9,15.5
Bronx,1.5,28.6,19.6
Brooklyn,2.8,26.3,9.3
Manhattan,0.7,10.7,14.8
Staten Island,0.5,6.3,12.4
