term,estimate,std.error,statistic,p.value,conf.low,conf.high,outcome,nw_se,nw_pvalue
T,0.1504807937483279,0.3255572575585028,0.46222527759586635,0.6451744265400365,-0.49739879604276094,0.7983603835394167,Pursuit Broadcasts,0.05163708921152532,0.004622565964800387
D,130.94096574027782,17.285297045858695,7.575280042505799,5.464515480781845e-11,96.5421283637969,165.33980311675873,Pursuit Broadcasts,38.90770513199693,0.0011760994708646046
P,-2.063009197218274,0.6456835452938328,-3.1950778554833006,0.002001103983419586,-3.3479604024134186,-0.778057992023129,Pursuit Broadcasts,1.6488505641482578,0.2145152954245316
covid,1.234059686827715,11.994192951079633,0.10288809691998774,0.9183092599435727,-22.63514497258378,25.103264346239207,Pursuit Broadcasts,2.006660689669989,0.540312161002261
T,-0.003378912663994515,0.0760659735826057,-0.04442081662604506,0.9646796601041524,-0.15475502429284507,0.14799719896485605,Pursuit Collisions,0.0265050678709432,0.8988790091164958
D,24.556812862818447,4.038684188207678,6.080399387137146,3.879494772523923e-8,16.519575189867645,32.59405053576925,Pursuit Collisions,8.540855166411268,0.005171559402587835
P,-0.3806877249389829,0.15086300906751543,-2.5234000520870854,0.013603364427560187,-0.6809146809046231,-0.08046076897334264,Pursuit Collisions,0.369755138730056,0.30631602916797807
covid,-0.08695754034502248,2.802425511885721,-0.031029385072400988,0.9753233877006682,-5.663962042339063,5.490046961649017,Pursuit Collisions,0.8498657279291851,0.9187593909488736
T,7.887775184037595,0.8694892664310694,9.071733819572016,6.349550870040348e-14,6.157436399739763,9.618113968335427,Robberies,1.2077625127532556,5.565354722053681e-9
D,-7.735000941116382,46.165090470287005,-0.16755086716649714,0.8673594530230622,-99.60645882493674,84.13645694270397,Robberies,64.24270764035248,0.9044659640893589
P,-13.457027916103053,1.724473649748878,-7.803556707324985,1.959761783649118e-11,-16.888839847385448,-10.02521598482066,Robberies,1.9879968500591232,1.9634084566793857e-9
covid,-235.88968666526145,32.03375685333284,-7.3637846396002455,1.4079169254852968e-10,-299.63889442443804,-172.14047890608484,Robberies,38.334194435116615,2.838956242168571e-8
T,1.3028674468304653,0.18549478643206957,7.023741593446839,6.387731812114144e-10,0.9337210575185981,1.6720138361423325,Shooting Incidents,0.20164895019980392,7.539279206609832e-9
D,-32.67366384316985,9.848751362455072,-3.317543782019596,0.001368006718052311,-52.27330367462157,-13.074024011718123,Shooting Incidents,8.824735724571427,3.908883654072894e-4
P,-2.36439380772914,0.3678951353602004,-6.4268145470697755,8.74693452922799e-9,-3.0965284594669282,-1.6322591559913522,Shooting Incidents,0.2705701699392201,2.868007296920296e-13
covid,40.43352745459824,6.834006025762586,5.916519140043689,7.7777776173275e-8,26.83342204209565,54.033632867100835,Shooting Incidents,11.43699943273523,6.804815859615054e-4
T,5.100897142072831,0.5281286988381821,9.658435819326186,4.489546636215882e-15,4.049887536800259,6.151906747345402,Gun Violence (Shootings + Shots Fired),0.687005220803286,1.0718064842422104e-10
D,-131.46373551873464,28.040724714055454,-4.688314473300266,1.1160724308306949e-5,-187.26655607764192,-75.66091495982735,Gun Violence (Shootings + Shots Fired),33.606220957049175,1.910942023493904e-4
P,-7.5924340227386855,1.0474471163524215,-7.248512983813642,2.3541428391068174e-10,-9.676920214690089,-5.507947830787282,Gun Violence (Shootings + Shots Fired),0.9584121428309328,1.1502166281583094e-11
covid,106.06909409758686,19.457337748735256,5.451367266546084,5.394896586689745e-7,67.34775796883551,144.7904302263382,Gun Violence (Shootings + Shots Fired),30.581963491174086,8.459592484234813e-4
