term,estimate,std.error,statistic,p.value,conf.low,conf.high,outcome,intervention_date
D_s,121.42188403150512,40.55043137327798,2.994342598079487,0.00365884892214996,41.94303853988028,200.90072952312994,Pursuit Broadcasts,2022-09-01
P_s,-1.5909384868931267,1.6935132258724028,-0.9394308013588525,0.3503374418618568,-4.910224409603036,1.728347435816783,Pursuit Broadcasts,2022-09-01
D_s,130.94096574027782,38.90770513199693,3.3654250564522386,0.0011760994708646046,54.68186368156384,207.2000677989918,Pursuit Broadcasts,2022-10-01
P_s,-2.063009197218274,1.6488505641482578,-1.2511802112788535,0.2145152954245316,-5.2947563029488585,1.1687379085123113,Pursuit Broadcasts,2022-10-01
D_s,142.63268344609148,36.639055295368145,3.8929137854742364,2.0409082829380947e-4,70.82013506716991,214.44523182501302,Pursuit Broadcasts,2022-11-01
P_s,-2.619362552793775,1.571400531258952,-1.6668968227312688,0.09944554004673972,-5.699307594061321,0.46058248847377126,Pursuit Broadcasts,2022-11-01
D_s,153.01306471879235,34.78107489304188,4.3993196066922975,3.316918271547724e-5,84.84215792843027,221.18397150915445,Pursuit Broadcasts,2022-12-01
P_s,-3.2312577894054515,1.4797845236023257,-2.1836002052105616,0.03192152979486311,-6.13163545566601,-0.330880123144893,Pursuit Broadcasts,2022-12-01
D_s,160.23026809820533,34.006408766049766,4.711766808442617,1.0200966104335052e-5,93.57770691674779,226.88282927966287,Pursuit Broadcasts,2023-01-01
P_s,-3.8670613451549483,1.3968064070535282,-2.7685020097468347,0.006995700313619665,-6.6048019029798635,-1.129320787330033,Pursuit Broadcasts,2023-01-01
D_s,21.93146377456903,8.744848550698395,2.507929513864194,0.014166994908246324,4.791560615200176,39.07136693393788,Pursuit Collisions,2022-09-01
P_s,-0.2859543363173627,0.37189056165868023,-0.7689206605351027,0.44420457375627853,-1.014859837168376,0.4429511645336505,Pursuit Collisions,2022-09-01
D_s,24.556812862818447,8.540855166411268,2.8752171046516914,0.005171559402587835,7.816736736652363,41.296888988984534,Pursuit Collisions,2022-10-01
P_s,-0.3806877249389829,0.369755138730056,-1.0295670974214868,0.30631602916797807,-1.1054077968498925,0.3440323469719268,Pursuit Collisions,2022-10-01
D_s,26.550303316467165,8.421944537458284,3.15251462395405,0.002279028644508609,10.043292023048927,43.0573146098854,Pursuit Collisions,2022-11-01
P_s,-0.48251249612191277,0.3652078290911386,-1.3211997599358707,0.19020120500319965,-1.1983198411405445,0.23329484889671886,Pursuit Collisions,2022-11-01
D_s,27.118039694596906,8.690833030023281,3.1203038420960505,0.0025128671419724115,10.084006955751274,44.15207243344254,Pursuit Collisions,2022-12-01
P_s,-0.5771307625932521,0.36204259285739254,-1.5940963134704489,0.11485793191843838,-1.2867342445937415,0.13247271940723726,Pursuit Collisions,2022-12-01
D_s,28.92208808983525,8.488892115278373,3.4070509669667084,0.0010301447872968377,12.283859543889637,45.560316635780865,Pursuit Collisions,2023-01-01
P_s,-0.6982836884368929,0.3509177284022352,-1.9898786294333177,0.05002077207799584,-1.3860824361052737,-0.01048494076851203,Pursuit Collisions,2023-01-01
D_s,4.7107736112769425,66.57587951502246,0.07075796287774139,0.9437669742597348,-125.77795023816708,135.19949746072098,Robberies,2022-09-01
P_s,-13.432893357855246,1.9383338291592371,-6.930123777327787,9.66300863941482e-10,-17.23202766300735,-9.633759052703141,Robberies,2022-09-01
D_s,-7.735000941116382,64.24270764035248,-0.12040278539346357,0.9044659640893589,-133.65070791620724,118.18070603397447,Robberies,2022-10-01
P_s,-13.457027916103053,1.9879968500591232,-6.769139455981954,1.9634084566793857e-9,-17.353501742218935,-9.560554089987171,Robberies,2022-10-01
D_s,-2.1837717906411984,59.65864510680414,-0.03660444830303625,0.9708915818467426,-119.11471619997731,114.7471726186949,Robberies,2022-11-01
P_s,-13.666795451655977,2.099560840217115,-6.509359095420497,6.112222375958307e-9,-17.78193469848152,-9.551656204830433,Robberies,2022-11-01
D_s,-24.02983953398917,62.53203326204604,-0.38428047642861685,0.7017901407758729,-146.5926247275994,98.53294565962108,Robberies,2022-12-01
P_s,-13.545071133422162,2.1850548893326622,-6.198961499570824,2.336582114840813e-8,-17.82777871651418,-9.262363550330145,Robberies,2022-12-01
D_s,-7.588169475876842,59.25815861259744,-0.12805273828174107,0.8984285920710635,-123.73416035656783,108.55782140481415,Robberies,2023-01-01
P_s,-13.951294283095923,2.2581729435958526,-6.178133664501472,2.5548087524205966e-8,-18.377313252543793,-9.525275313648052,Robberies,2023-01-01
D_s,-30.477115383163813,8.901986647112142,-3.4236307682005758,9.769105554773665e-4,-47.92500921150361,-13.029221554824016,Shooting Incidents,2022-09-01
P_s,-2.451036437529653,0.2535434615821663,-9.667125400255456,4.3172101431778344e-15,-2.947981622230699,-1.9540912528286072,Shooting Incidents,2022-09-01
D_s,-32.67366384316985,8.824735724571427,-3.7025090453636946,3.908883654072894e-4,-49.97014586332985,-15.377181823009852,Shooting Incidents,2022-10-01
P_s,-2.36439380772914,0.2705701699392201,-8.73856053038023,2.868007296920296e-13,-2.8947113408100114,-1.8340762746482688,Shooting Incidents,2022-10-01
D_s,-31.25710730151185,10.07142360151175,-3.1035441004407827,0.0026432021550664556,-50.997097560474884,-11.517117042548822,Shooting Incidents,2022-11-01
P_s,-2.313865801179901,0.28175820735260204,-8.212239220716821,3.1023693990108433e-12,-2.8661118875910008,-1.761619714768801,Shooting Incidents,2022-11-01
D_s,-30.72336374294144,11.093574718115368,-2.7694737290380713,0.006976718159399204,-52.46677019044756,-8.97995729543532,Shooting Incidents,2022-12-01
P_s,-2.259974083109227,0.29551030345375967,-7.647699781347419,3.9485769038764816e-11,-2.839174277878596,-1.6807738883398584,Shooting Incidents,2022-12-01
D_s,-31.488212337562075,11.469723391893307,-2.745333192587508,0.00746252225395696,-53.968870185672955,-9.007554489451195,Shooting Incidents,2023-01-01
P_s,-2.1898041241805037,0.31061523656680207,-7.049892813965538,5.689096704131172e-10,-2.7986099878514357,-1.5809982605095718,Shooting Incidents,2023-01-01
D_s,-128.64950842228035,32.41004109560853,-3.969433671582478,1.5634521388902943e-4,-192.17318896967305,-65.12582787488763,Gun Violence (Shootings + Shots Fired),2022-09-01
P_s,-7.916017935864731,0.8983797084154352,-8.811438929121659,2.0620947537371306e-13,-9.676842164358984,-6.155193707370477,Gun Violence (Shootings + Shots Fired),2022-09-01
D_s,-131.46373551873464,33.606220957049175,-3.9118868999508574,1.910942023493904e-4,-197.33192859455102,-65.59554244291826,Gun Violence (Shootings + Shots Fired),2022-10-01
P_s,-7.5924340227386855,0.9584121428309328,-7.921888385420861,1.1502166281583094e-11,-9.470921822687314,-5.7139462227900575,Gun Violence (Shootings + Shots Fired),2022-10-01
D_s,-126.24015210360761,38.2973794102271,-3.296313064958588,0.0014621954419643285,-201.30301574765275,-51.17728845956249,Gun Violence (Shootings + Shots Fired),2022-11-01
P_s,-7.359792878486178,0.9959749252303511,-7.389536314665743,1.2549422268457462e-10,-9.311903731937665,-5.407682025034689,Gun Violence (Shootings + Shots Fired),2022-11-01
D_s,-126.11494444157644,40.92968965618867,-3.0812582626681984,0.0028262739531087207,-206.33713616770623,-45.89275271544665,Gun Violence (Shootings + Shots Fired),2022-12-01
P_s,-7.0855969109349415,1.0451091309068201,-6.77976749163689,1.873846400483655e-9,-9.13401080751231,-5.0371830143575735,Gun Violence (Shootings + Shots Fired),2022-12-01
D_s,-124.31102296357172,44.28435193212864,-2.8071094537884185,0.0062768034463224626,-211.10835275054384,-37.51369317659959,Gun Violence (Shootings + Shots Fired),2023-01-01
