spec,outcome_var,predictor_var,estimate,std_error,t_stat,p_value,se_type,n_months,r_squared_level,r_squared_loglog,interpretation
level_level,pursuit_crashes,pursuit_events,0.18223265083538082,0.00974803362550288,18.6942985463881,2.638677267613602e-31,Newey-West HAC (lag 6),96,0.8542862302778836,0.7414022281111593,Each additional pursuit generates 0.1822 collisions
log_log,log(pursuit_crashes + 1),log(pursuit_events + 1),0.48291471510356243,0.05159570587984397,9.359591207612777,1.3872555709714342e-14,Newey-West HAC (lag 6),96,0.8542862302778836,0.7414022281111593,1% increase in pursuits -> 0.4829% increase in crashes
